word,definition,part_of_speech,pronunciation_guide,etymology,language_origins,example_sentence,memory_tip,phonetic_transcription_score,frequency_score,morphological_score,etymology_score,final_difficulty,definition_source,pronunciation_source,etymology_source,example_sentence_source,memory_tip_source,audio_file,difficulty_level,difficulty_source,years,source_files,source_difficulties,scripps_difficulty
gone,"Gone means having left; departed; no longer present or available. It can refer to physical absence, the end of a state or condition, or the completion of a process. When something is gone, it has moved away from its previous location or ceased to exist in its former state. The word can describe people who have left a place, objects that have been removed or used up, time that has passed, or opportunities that have been missed. Gone implies a permanent or semi-permanent change from a previous state of presence or availability.","adjective, past participle of ""go""",GAWN,"Past participle of ""go,"" from Middle English ""gon,"" from Old English ""gān"" meaning ""to go, depart.""","Old English, Germanic","When I returned from vacation, my favorite coffee shop was _______ and replaced by a new restaurant.","Remember ""GONE"" - think of something GOing away and Never coming back, leaving an empty space behind.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gonzo,"Gonzo refers to a style of journalism characterized by first-person narrative, subjective reporting, and the reporter becoming part of the story being covered. It was popularized by writer Hunter S. Thompson and involves immersive, participatory reporting that breaks traditional journalistic objectivity. The term has also expanded to describe anything bizarre, unconventional, or wildly eccentric in style or approach. Gonzo journalism often includes personal experiences, emotions, and opinions as central elements of the reporting process, creating a highly subjective and often entertaining form of storytelling.","adjective, noun",GON-zoh,"From Italian ""gonzo"" meaning ""simpleton"" or ""fool,"" popularized in English by journalist Hunter S. Thompson in the 1970s.",Italian,The reporter decided to take a _______ approach to covering the music festival by camping with the attendees for a week.,"Remember ""GONZO"" - think of GOing iN with Zero Objectivity, diving deep into the story as a participant.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
goober,"Goober is an informal American term that can refer to a peanut, particularly in Southern dialects, or colloquially describe a person who is silly, naive, or somewhat foolish in an endearing way. When referring to a person, it suggests someone who is goofy or awkward but generally harmless and likeable. The word carries a gentle, teasing connotation rather than being truly insulting. In its agricultural sense, goober refers specifically to the peanut plant and its edible seeds, which grow underground and are technically legumes rather than true nuts.",noun,GOO-ber,"From Kongo ""nguba"" or similar Bantu languages, brought to America through enslaved Africans who were familiar with peanut cultivation.",Bantu (African languages),"My little brother is such a _______, always making silly faces and telling ridiculous jokes that somehow make everyone laugh.","Remember ""GOOBER"" - GOO suggests something gooey like peanut Butter, and it sounds like ""goopy"" for silly people.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
goodnik,"Goodnik is a Yiddish-influenced slang term referring to a person who is virtuous, well-behaved, or morally upright, often used with a slightly ironic or playful tone. It describes someone who consistently does good deeds, follows rules, and maintains high moral standards. The term can be used both genuinely to praise someone's character and somewhat teasingly to describe someone who might be perceived as overly righteous or perfectly behaved. It's part of a pattern of Yiddish-influenced words ending in ""-nik"" that describe types of people based on their characteristics or behaviors.",noun,GOOD-nik,"From ""good"" plus the Yiddish suffix ""-nik"" meaning ""one who is associated with"" or ""one who does.""",English with Yiddish influence,"Sarah is such a _______, always volunteering at the shelter and never saying a bad word about anyone.","Remember ""GOODNIK"" - a GOOD person, and ""-NIK"" like beatNIK or peacNIK, someone defined by their Good nature.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
goods,"Goods refers to tangible items, products, or merchandise that are bought, sold, or traded in commerce. These are physical objects that have economic value and can be owned, moved, and exchanged. In economic terms, goods are distinguished from services, which are intangible activities or benefits. Goods can include everything from raw materials and manufactured products to consumer items and industrial equipment. The term encompasses both necessities like food and shelter materials, and luxuries like jewelry and entertainment products. In legal contexts, goods often refer to movable personal property as opposed to real estate.",noun (plural),GOODZ,"From Middle English ""gode,"" from Old English ""gōd"" meaning ""good, excellent, valuable.""","Old English, Germanic","The merchant ship was loaded with _______ from around the world, including spices, textiles, and precious metals.","Remember ""GOODS"" - think of GOOD Stuff that people buy and sell, physical items that have value and can be owned.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
goofy,"Goofy describes someone or something that is silly, foolish, or amusing in a harmless, endearing way. It suggests behavior or appearance that is awkward, clumsy, or unconventional but in a way that provokes laughter or affection rather than annoyance. A goofy person might make funny faces, tell silly jokes, or act in ways that seem childish or unsophisticated. The term carries a gentle, affectionate connotation and is often used to describe behavior that is entertaining precisely because it lacks seriousness or sophistication.",adjective,GOO-fee,"Origin uncertain, possibly related to ""goff"" (a simpleton) or influenced by the Disney character Goofy, first appearing in 1932.",American English,"My dad always does a _______ dance when his favorite song comes on, and it makes everyone smile despite themselves.","Remember ""GOOFY"" - GOO suggests something gooey and imperfect, and it sounds like ""goof"" which means to act silly or make mistakes.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
google,"Google originally refers to the number 1 followed by 100 zeros (10^100), also known as a googol, but is now most commonly known as the multinational technology company founded in 1998 by Larry Page and Sergey Brin. As a company, Google specializes in internet-related services including search engines, online advertising, cloud computing, software, and hardware. The verb ""to google"" has entered common usage meaning to search for information on the internet using any search engine. The company chose this name to represent their mission to organize the vast amount of information available on the world wide web.","proper noun, verb",GOO-gul,"From ""googol,"" coined by mathematician Edward Kasner in 1938, intentionally misspelled as ""Google"" by the company founders.",Modern English (coined term),"When I couldn't remember the actor's name, I decided to _______ the movie title to find the cast information.","Remember ""GOOGLE"" - it started with GOOGol (huge number), now it helps you GOOGle for information online.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
googly,"Googly is a term from cricket referring to a type of deceptive bowling delivery where the ball spins in the opposite direction from what the batsman expects based on the bowler's hand position and apparent action. When bowled by a right-handed bowler, a googly spins from off to leg (right to left from the batsman's perspective) despite appearing to be bowled with a leg-spin action. This deceptive delivery is designed to confuse the batsman and potentially result in a wicket. The term requires knowledge of cricket terminology and spin bowling techniques to fully understand its specific meaning within the sport.","noun, adjective",GOO-glee,"Cricket term, possibly from ""goggle"" referring to the batsman's surprised expression when deceived by the delivery.",English (cricket terminology),The spinner surprised everyone with a perfect _______ that spun sharply and knocked over the middle stump.,"Remember ""GOOGLY"" - in cricket, it makes batsmen's eyes GOOGLe in surprise when the ball spins the unexpected waY.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
googol,"Googol is a specific large number equal to 10 to the power of 100, or 1 followed by 100 zeros. This number was named by nine-year-old Milton Sirotta, nephew of mathematician Edward Kasner, in 1938. A googol is larger than the number of elementary particles in the observable universe, making it a number of primarily theoretical mathematical interest. While extremely large, a googol is still finite and much smaller than a googolplex, which is 10 to the power of a googol. The term demonstrates how mathematical concepts can capture unimaginably large quantities that exceed practical physical applications.",noun,GOO-gawl,"Coined in 1938 by nine-year-old Milton Sirotta, nephew of mathematician Edward Kasner, from baby talk or nonsense syllables.",Modern English (coined term),The mathematician explained that a _______ is so large that it exceeds the number of atoms in the entire observable universe.,"Remember ""GOOGOL"" - GOOGle was named after this GOOGol, representing a 1 followed by One hundred zerOs (100 zeros).",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
goondie,"Goondie is a less common variant or regional pronunciation of ""gundy,"" which can refer to a type of candy or confection, particularly in some dialects. In certain contexts, it might refer to a sticky, chewy sweet or a type of fudge-like candy. The term may also appear in regional slang with various meanings depending on local usage. However, this word is not widely recognized in standard dictionaries and may represent a highly regional or specialized term. Its usage and meaning can vary significantly based on geographic location and local linguistic traditions.",noun,GOON-dee,"Possibly a variant of ""gundy"" or regional dialect term, exact etymology unclear.",English (regional/dialectal),The old candy shop still made traditional _______ using the same recipe from fifty years ago.,"Remember ""GOONDIE"" - sounds like GOOey caNDy, suggesting something sweet and chewy to eat.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
