word,definition,pronunciation,example_sentence,etymology,etymology_source,definition_source,pronunciation_source,example_sentence_source,years,source_files,source_difficulties,difficulty_level
wigan,,,The industrial town of ____ is famous for its historic pier.,"From the English town name Wigan, derived from Old English personal name Wicga",Claude,,,Claude,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Advanced; Intermediate
wiggle,"A rapid movement in alternating opposite directions, not necessarily regular.",/ˈwɪɡəl/,The child tried to ____ out of his tight jacket.,"From Middle English wiglen, possibly from Middle Dutch wiggelen",Claude,Dictionary API,Dictionary API,Claude,2023,2023_Words_of_the_Champions.pdf,Two Bee,Intermediate
wilco,(radio communications) Used to indicate agreement and compliance.,/ˈwɪl.kəʊ/,"The pilot responded with ""____, tower"" to confirm the instructions.","Military/aviation acronym for ""will comply"", first used in WWII",Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
wildcat,"A cat that lives in the wilderness, specifically",/ˈwaɪldˌkæt/,The ____ hunting strategy proved very risky for investors.,"Compound of wild + cat, first recorded in early 14th century",Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,Elementary; Intermediate
wildebeest,Gnu.,/ˈwɪldəbist/,"During the great migration, millions of ____ cross the Serengeti.","From Afrikaans, literally ""wild beast"", from Dutch wild + beest",Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
wimple,A cloth which usually covers the head and is worn around the neck and chin. It was worn by women in medieval Europe and is still worn by nuns in certain orders.,/ˈwɪmpəl/,The medieval nun adjusted her white ____ around her face.,"From Old English wimpel, meaning veil or head covering",Claude,Dictionary API,Dictionary API,Claude,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,Advanced
wince,A sudden movement or gesture of shrinking away.,/wɪns/,She would ____ every time the dentist drill started.,"From Old North French guinchir, meaning to turn aside",Claude,Dictionary API,Dictionary API,Claude,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Advanced; Intermediate
windbaggery,,,His speech was full of political ____ and empty promises.,"Modern formation from windbag + -ery, meaning empty talk",Claude,,,Claude,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Advanced; Intermediate
window,The inedible parts of a grain-producing plant.,/ˈwɪndəʊ/,She opened the ____ to let in the fresh morning air.,"From Old Norse vindauga, literally ""wind eye""",Claude,Dictionary API,Dictionary API,Claude,2021,2021_Printable_Words of the Champions.pdf,One Bee,Elementary
winegrower,A person or company that owns a vineyard and produces wine.,,The experienced ____ knew exactly when to harvest the grapes.,"Compound of wine + grower, modern agricultural term",Claude,Dictionary API,Dictionary API,Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Advanced
winged,Having wings.,/wɪŋ(ɪ)d/,The ____ messenger delivered the urgent news swiftly.,"From wing + -ed, Old English wenge meaning appendage for flying",Claude,Dictionary API,Dictionary API,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Advanced
wings,"An appendage of an animal's (bird, bat, insect) body that enables it to fly; a similar fin at the side of a ray or similar fish",/wɪŋz/,The bird spread its ____ wide before taking flight.,"Plural of wing, from Old English wenge",Claude,Dictionary API,Dictionary API,Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Advanced
winner,One who has won or often wins.,/ˈwɪnə/,The ____ of the race received a golden trophy.,"From win + -er, Old English winnan meaning to struggle",Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
winning,"To conquer, defeat.",/ˈwɪnɪŋ/,Her ____ smile charmed everyone at the party.,"Present participle of win, meaning attractive or successful",Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
winnow,That which winnows or which is used in winnowing; a contrivance for fanning or winnowing grain.,/ˈwɪnəʊ/,Farmers would ____ the grain to separate it from the chaff.,"From Old English windwian, meaning to fan or blow",Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,Elementary; Intermediate
winsome,"Charming, engaging, winning; inspiring approval and trust, especially if in an innocent manner.",/ˈwɪn.s(ə)m/,The child's ____ personality made everyone smile.,"From Old English wynsum, meaning pleasant or attractive",Claude,Dictionary API,Dictionary API,Claude,2020,2020 Words_of_the_Champions.pdf,One Bee,Elementary
