word,source_difficulty,source_year,page_number,source_file
difficulty,One Bee,2020,4,2020 Words_of_the_Champions.pdf
crowd,One Bee,2020,5,2020 Words_of_the_Champions.pdf
secret,One Bee,2020,5,2020 Words_of_the_Champions.pdf
fumble,One Bee,2020,5,2020 Words_of_the_Champions.pdf
pond,One Bee,2020,5,2020 Words_of_the_Champions.pdf
health,One Bee,2020,5,2020 Words_of_the_Champions.pdf
pardon,One Bee,2020,5,2020 Words_of_the_Champions.pdf
shake,One Bee,2020,5,2020 Words_of_the_Champions.pdf
kiddo,One Bee,2020,5,2020 Words_of_the_Champions.pdf
proof,One Bee,2020,5,2020 Words_of_the_Champions.pdf
gorp,One Bee,2020,5,2020 Words_of_the_Champions.pdf
town,One Bee,2020,5,2020 Words_of_the_Champions.pdf
bingo,One Bee,2020,5,2020 Words_of_the_Champions.pdf
clever,One Bee,2020,5,2020 Words_of_the_Champions.pdf
inside,One Bee,2020,5,2020 Words_of_the_Champions.pdf
reply,One Bee,2020,5,2020 Words_of_the_Champions.pdf
frozen,One Bee,2020,5,2020 Words_of_the_Champions.pdf
special,One Bee,2020,5,2020 Words_of_the_Champions.pdf
film,One Bee,2020,5,2020 Words_of_the_Champions.pdf
results,One Bee,2020,5,2020 Words_of_the_Champions.pdf
sodaseal,One Bee,2020,5,2020 Words_of_the_Champions.pdf
twirled,One Bee,2020,5,2020 Words_of_the_Champions.pdf
admit,One Bee,2020,5,2020 Words_of_the_Champions.pdf
grown-ups,One Bee,2020,5,2020 Words_of_the_Champions.pdf
pieces,One Bee,2020,5,2020 Words_of_the_Champions.pdf
brass,One Bee,2020,5,2020 Words_of_the_Champions.pdf
onshore,One Bee,2020,5,2020 Words_of_the_Champions.pdf
stunts,One Bee,2020,5,2020 Words_of_the_Champions.pdf
deny,One Bee,2020,5,2020 Words_of_the_Champions.pdf
jolly,One Bee,2020,5,2020 Words_of_the_Champions.pdf
powder,One Bee,2020,5,2020 Words_of_the_Champions.pdf
walnut,One Bee,2020,5,2020 Words_of_the_Champions.pdf
sawdust,One Bee,2020,5,2020 Words_of_the_Champions.pdf
flustered,One Bee,2020,5,2020 Words_of_the_Champions.pdf
barber,One Bee,2020,5,2020 Words_of_the_Champions.pdf
chimes,One Bee,2020,5,2020 Words_of_the_Champions.pdf
cabin,One Bee,2020,5,2020 Words_of_the_Champions.pdf
faint,One Bee,2020,5,2020 Words_of_the_Champions.pdf
manger,One Bee,2020,5,2020 Words_of_the_Champions.pdf
peppermint,One Bee,2020,5,2020 Words_of_the_Champions.pdf
brothash,One Bee,2020,5,2020 Words_of_the_Champions.pdf
flame,One Bee,2020,5,2020 Words_of_the_Champions.pdf
grits,One Bee,2020,5,2020 Words_of_the_Champions.pdf
cliff,One Bee,2020,5,2020 Words_of_the_Champions.pdf
hem,One Bee,2020,5,2020 Words_of_the_Champions.pdf
candles,One Bee,2020,5,2020 Words_of_the_Champions.pdf
brim,One Bee,2020,5,2020 Words_of_the_Champions.pdf
plot,One Bee,2020,5,2020 Words_of_the_Champions.pdf
desk,One Bee,2020,5,2020 Words_of_the_Champions.pdf
bobcat,One Bee,2020,5,2020 Words_of_the_Champions.pdf
polo,One Bee,2020,5,2020 Words_of_the_Champions.pdf
roller,One Bee,2020,5,2020 Words_of_the_Champions.pdf
stark,One Bee,2020,5,2020 Words_of_the_Champions.pdf
drum,One Bee,2020,5,2020 Words_of_the_Champions.pdf
snarl,One Bee,2020,5,2020 Words_of_the_Champions.pdf
argue,One Bee,2020,5,2020 Words_of_the_Champions.pdf
loppers,One Bee,2020,5,2020 Words_of_the_Champions.pdf
petal,One Bee,2020,5,2020 Words_of_the_Champions.pdf
giant,One Bee,2020,5,2020 Words_of_the_Champions.pdf
sniffle,One Bee,2020,5,2020 Words_of_the_Champions.pdf
mouthfilters,One Bee,2020,5,2020 Words_of_the_Champions.pdf
cone,One Bee,2020,5,2020 Words_of_the_Champions.pdf
never,One Bee,2020,5,2020 Words_of_the_Champions.pdf
silly,One Bee,2020,5,2020 Words_of_the_Champions.pdf
monday,One Bee,2020,5,2020 Words_of_the_Champions.pdf
grub,One Bee,2020,5,2020 Words_of_the_Champions.pdf
hook,One Bee,2020,5,2020 Words_of_the_Champions.pdf
number,One Bee,2020,5,2020 Words_of_the_Champions.pdf
cooking,One Bee,2020,5,2020 Words_of_the_Champions.pdf
amazed,One Bee,2020,5,2020 Words_of_the_Champions.pdf
collect,One Bee,2020,5,2020 Words_of_the_Champions.pdf
local,One Bee,2020,5,2020 Words_of_the_Champions.pdf
proper,One Bee,2020,5,2020 Words_of_the_Champions.pdf
basement,One Bee,2020,5,2020 Words_of_the_Champions.pdf
ripple,One Bee,2020,5,2020 Words_of_the_Champions.pdf
feats,One Bee,2020,5,2020 Words_of_the_Champions.pdf
plumbing,One Bee,2020,5,2020 Words_of_the_Champions.pdf
stubborn,One Bee,2020,5,2020 Words_of_the_Champions.pdf
adrift,One Bee,2020,5,2020 Words_of_the_Champions.pdf
sweeten,One Bee,2020,5,2020 Words_of_the_Champions.pdf
social,One Bee,2020,5,2020 Words_of_the_Champions.pdf
behold,One Bee,2020,5,2020 Words_of_the_Champions.pdf
mix,One Bee,2020,5,2020 Words_of_the_Champions.pdf
drool,One Bee,2020,5,2020 Words_of_the_Champions.pdf
understand,One Bee,2020,5,2020 Words_of_the_Champions.pdf
sound,One Bee,2020,5,2020 Words_of_the_Champions.pdf
benches,One Bee,2020,5,2020 Words_of_the_Champions.pdf
shrugged,One Bee,2020,5,2020 Words_of_the_Champions.pdf
pranks,One Bee,2020,5,2020 Words_of_the_Champions.pdf
smiled,One Bee,2020,5,2020 Words_of_the_Champions.pdf
peach,One Bee,2020,5,2020 Words_of_the_Champions.pdf
pie,One Bee,2020,5,2020 Words_of_the_Champions.pdf
size,One Bee,2020,5,2020 Words_of_the_Champions.pdf
hall,One Bee,2020,5,2020 Words_of_the_Champions.pdf
jangled,One Bee,2020,5,2020 Words_of_the_Champions.pdf
chain,One Bee,2020,5,2020 Words_of_the_Champions.pdf
workhorse,One Bee,2020,5,2020 Words_of_the_Champions.pdf
antennas,One Bee,2020,5,2020 Words_of_the_Champions.pdf
honestholler,One Bee,2020,5,2020 Words_of_the_Champions.pdf
billboard,One Bee,2020,5,2020 Words_of_the_Champions.pdf
chicken,One Bee,2020,5,2020 Words_of_the_Champions.pdf
puppets,One Bee,2020,5,2020 Words_of_the_Champions.pdf
waited,One Bee,2020,5,2020 Words_of_the_Champions.pdf
finish,One Bee,2020,5,2020 Words_of_the_Champions.pdf
cheer,One Bee,2020,5,2020 Words_of_the_Champions.pdf
twisty,One Bee,2020,5,2020 Words_of_the_Champions.pdf
chips,One Bee,2020,5,2020 Words_of_the_Champions.pdf
scoop,One Bee,2020,5,2020 Words_of_the_Champions.pdf
rover,One Bee,2020,5,2020 Words_of_the_Champions.pdf
forgive,One Bee,2020,5,2020 Words_of_the_Champions.pdf
ribbon,One Bee,2020,5,2020 Words_of_the_Champions.pdf
shoo,One Bee,2020,5,2020 Words_of_the_Champions.pdf
greedy,One Bee,2020,5,2020 Words_of_the_Champions.pdf
beam,One Bee,2020,5,2020 Words_of_the_Champions.pdf
crew,One Bee,2020,5,2020 Words_of_the_Champions.pdf
crate,One Bee,2020,5,2020 Words_of_the_Champions.pdf
hotel,One Bee,2020,5,2020 Words_of_the_Champions.pdf
company,One Bee,2020,6,2020 Words_of_the_Champions.pdf
chiefly,One Bee,2020,6,2020 Words_of_the_Champions.pdf
british,One Bee,2020,6,2020 Words_of_the_Champions.pdf
spellinggradual,One Bee,2020,6,2020 Words_of_the_Champions.pdf
ferocious,One Bee,2020,6,2020 Words_of_the_Champions.pdf
frequently,One Bee,2020,6,2020 Words_of_the_Champions.pdf
permission,One Bee,2020,6,2020 Words_of_the_Champions.pdf
towel,One Bee,2020,6,2020 Words_of_the_Champions.pdf
sundae,One Bee,2020,6,2020 Words_of_the_Champions.pdf
ornament,One Bee,2020,6,2020 Words_of_the_Champions.pdf
rooster,One Bee,2020,6,2020 Words_of_the_Champions.pdf
scold,One Bee,2020,6,2020 Words_of_the_Champions.pdf
organza,One Bee,2020,6,2020 Words_of_the_Champions.pdf
