word,definition,pronunciation,pronunciation_audio_url,example_sentence,etymology,etymology_source,memory_tip,fun_fact,difficulty_level,source_difficulty,source,source_url
cerebellum,"The part of the brain that coordinates movement, balance, and posture, located at the back of the skull beneath the cerebrum.",/ˌsɛrəˈbɛləm/,,Damage to the _____ can result in problems with coordination and balance during movement.,"From Latin cerebellum, diminutive of cerebrum 'brain'",Claude,Remember CEREBELLUM: Coordinating Everyone's Reflexes Enables Balanced Excellent Locomotion Learning Using Motion - brain balance center.,"Despite being only 10% of the brain's volume, the cerebellum contains over half of all neurons in the brain.",Intermediate,One Bee,Scripps National Spelling Bee,https://spellingbee.com
cermet,"A composite material made of ceramic and metallic materials, combining properties of both for specialized applications.",/ˈsɜrmɛt/,,"The cutting tool was made from _____, which provided both hardness and toughness for industrial applications.",Blend of ceramic + metal,Claude,Remember CERMET: Ceramic Related Material Engineered Together - ceramic-metal composite.,Cermets are used in high-performance applications like jet engine components and cutting tools because they resist wear and heat.,Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
certain,Known for sure; established beyond doubt; confident and assured.,/ˈsɜrtən/,,She was _____ that her calculations were correct after checking them multiple times.,"From Old French certain, from Latin certus 'settled, sure'",Claude,Remember CERTAIN: Completely Established Reality That Anyone Is Notable - sure and confident.,"The phrase 'for certain' emphasizes absolute certainty, while 'certain people' means 'some specific people.'",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
certiorari,A legal writ from a higher court ordering a lower court to send up records of a case for review.,/ˌsɜrʃiəˈrɛri/,,The Supreme Court granted _____ to review the controversial constitutional law case.,From Latin certiorari 'to be made more certain',Claude,Remember CERTIORARI: Court Examination Requiring Thorough Investigation Of Records And Related Issues - legal review writ.,"The U.S. Supreme Court uses certiorari to choose which cases to hear, granting it in only about 1% of petitions filed.",Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
certitude,Absolute certainty or conviction; complete confidence in one's beliefs or knowledge.,/ˈsɜrtɪˌtud/,,His _____ about the success of the project inspired confidence in the entire team.,"From Latin certitudo, from certus 'certain'",Claude,Remember CERTITUDE: Complete Evidence Reveals Truth In Total Unwavering Definite Explanation - absolute certainty.,"Philosophers distinguish between certitude (subjective confidence) and certainty (objective truth), though they're often used interchangeably.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
cetology,"The branch of zoology dealing with whales, dolphins, and other cetaceans.",/sɪˈtɑlədʒi/,,"The marine biologist specialized in _____, studying humpback whale migration patterns.","From Greek ketos 'whale, sea monster' + -logy 'study of'",Claude,Remember CETOLOGY: Careful Examination Teaching Our Learning Of Great Yearning whales - whale study.,"Herman Melville helped popularize the term 'cetology' in his novel Moby-Dick, which includes detailed chapters on whale biology.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
chachalacas,"Large game birds native to the Americas, related to turkeys and known for their loud, raucous calls.",/ˌtʃɑtʃəˈlɑkəz/,,"The dawn chorus of _____ echoed through the tropical forest, waking the entire camp.","From Spanish chachalaca, imitative of the bird's call",Claude,Remember CHACHALACAS: Chattering And Calling Habitually All Loud And Clamorous Active Sounds - noisy tropical birds.,"Chachalacas are among the loudest birds in the Americas, with calls that can be heard over a mile away.",Beginning,Two Bee,Scripps National Spelling Bee,https://spellingbee.com
chai,"A spiced tea beverage, typically made with black tea, milk, and aromatic spices like cardamom and cinnamon.",/tʃaɪ/,,"She enjoyed a warm cup of _____ latte with its blend of cinnamon, cardamom, and ginger.","From Hindi chai, from Chinese cha 'tea'",Claude,Remember CHAI: Cinnamon Herbs And India beverage - spiced tea drink.,"The word 'chai' simply means 'tea' in many languages, so 'chai tea' is technically redundant, meaning 'tea tea.'",Beginning,Two Bee,Scripps National Spelling Bee,https://spellingbee.com
chain,A series of connected metal links; a sequence of related things or events.,/tʃeɪn/,,The heavy _____ secured the boat to the dock during the storm.,"From Old French chaeine, from Latin catena 'chain'",Claude,Remember CHAIN: Connected Hardware And Interlocking Nodes - linked metal series.,"The strongest chains are only as strong as their weakest link, which inspired the famous metaphor about team strength.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
chalaza,One of two spiral bands of thick egg white that anchor the yolk in the center of an egg.,/kəˈleɪzə/,,The _____ keeps the egg yolk properly positioned within the protective white.,"From Greek khalaza 'hailstone, lump'",Claude,Remember CHALAZA: Connecting Harness And Linking Anchor Zonally Arranged - egg yolk anchor.,"A prominent chalaza is actually a sign of a fresh, high-quality egg, not a defect as some people think.",Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
