"word","definition","part_of_speech","pronunciation_guide","etymology","language_origins","definition_source","pronunciation_source","etymology_source","example_sentence","example_sentence_source","memory_tip","memory_tip_source","difficulty_phonetic","difficulty_semantic","difficulty_morphological","difficulty_etymological","difficulty","years","source_files","source_difficulties","combined_words_detected","incomplete_word_detected","parsing_errors"
"flaxentriplicate","[Definition for flaxentriplicate not available in batch data]","unknown","[Pronunciation for flaxentriplicate not available]","[Etymology for flaxentriplicate not available]","unknown","Claude","Claude","Claude","[Example sentence for flaxentriplicate not available]","Claude","[Memory tip for flaxentriplicate not available]","Claude","1","1","2","1","","2022","2022 Words of the Champions_low_ink_printable.pdf","Two Bee","True","False","Combined word error: ""flaxentriplicate"" appears to be flaxen + triplicate merged together. This is likely a PDF parsing error where two separate words were incorrectly combined."
"flea","A flea is a small, wingless insect that feeds on the blood of mammals and birds as an external parasite. These tiny insects are known for their exceptional jumping ability, which can propel them many times their body length. Fleas have laterally compressed bodies and specialized mouthparts for piercing skin and sucking blood. They are common pests that can transmit diseases and cause irritation to their hosts. Fleas undergo complete metamorphosis and can survive for extended periods without feeding.","noun","FLEE","From Old English ""fleah,"" related to similar words in other Germanic languages, ultimately referring to the jumping insect.","Old English","Claude","Claude","Claude","The veterinarian recommended a special shampoo to eliminate the _______ infestation on the dog.","Claude","Remember ""FLEA"" - a tiny insect that makes you want to FLEE because it bites and jumps around.","Claude","1","4","1","1","","2024","2024 Words of the Champions.pdf","Three Bee","False","False",""
"flecked","Flecked describes something that is marked with small spots, specks, or patches of color or texture that stand out from the main surface. When something is flecked, it has a speckled or spotted appearance, often creating visual interest through the contrast between the base color and the small markings. This can occur naturally, as in flecked granite or bird eggs, or artificially, as in flecked paint or fabric patterns.","adjective, verb (past tense)","FLEKT","From ""fleck,"" possibly from Middle English ""flekken,"" related to similar words meaning ""spot"" in Germanic languages.","Middle English, Germanic","Claude","Claude","Claude","The artist's canvas was _______ with tiny drops of gold paint that caught the light beautifully.","Claude","Remember ""FLECKED"" - decorated with FLECKS (tiny spots), like being CHECKED with small markings.","Claude","1","4","1","2","","2024","2024 Words of the Champions.pdf","Three Bee","False","False",""
"fleeciness","Fleeciness is the quality or state of being fleecy, characterized by softness, wooliness, or a fluffy, cloud-like texture. This abstract noun describes the physical characteristic of materials that resemble sheep's fleece in their soft, thick, and often curly or matted appearance. Fleeciness can apply to actual wool, synthetic fabrics designed to mimic wool, clouds, or any surface that has a soft, fluffy, fleece-like quality.","noun","FLEE-see-nis","From ""fleecy"" (from ""fleece,"" from Old English ""fleos"") plus the suffix ""-iness"" indicating a quality or state.","Old English","Claude","Claude","Claude","The _______ of the new blanket made it incredibly comfortable for cold winter nights.","Claude","Remember ""FLEECI-ness"" - the quality of being soft and fluffy like a sheep's FLEECE, full of cozy comfort.","Claude","1","4","2","1","","2022; 2023; 2024; 2025","2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","Three Bee; Two Bee","False","False",""
"fleetness","Fleetness is the quality of being fleet, meaning swiftness, speed, or rapidity of movement. This noun describes the characteristic of moving quickly and gracefully, often with an emphasis on agility and nimbleness rather than just raw speed. Fleetness can apply to runners, animals, vehicles, or even abstract concepts like the fleetness of time. The word suggests not only speed but also elegance and efficiency in movement.","noun","FLEET-nis","From ""fleet"" (from Old English ""fleot"" meaning ""swift"") plus the suffix ""-ness"" indicating a quality or state.","Old English","Claude","Claude","Claude","The gazelle's _______ allowed it to escape from predators across the African savanna.","Claude","Remember ""FLEET-ness"" - the quality of being part of a swift FLEET, moving with speed and grace.","Claude","1","4","2","1","","2020; 2021; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
"flehmen","Flehmen is a behavioral response in which animals, particularly mammals, curl back their lips and inhale through their mouth to better detect scents through their vomeronasal organ. This distinctive facial expression allows animals to analyze chemical signals, pheromones, and other airborne substances more effectively. The flehmen response is commonly observed in horses, cats, snakes, and many other species as part of their chemosensory behavior for gathering information about their environment.","noun, verb","FLAY-men","From German ""flehmen"" meaning ""to curl the upper lip,"" describing the characteristic facial expression during this behavior.","German","Claude","Claude","Claude","The stallion exhibited the _______ response, curling his lip to better analyze the mare's scent.","Claude","Remember ""FLEH-men"" - when animals make a weird facial expression to SMELL better, curling their lips to analyze scents.","Claude","1","4","1","2","","2022; 2023; 2024; 2025","2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","Three Bee; Two Bee","False","False",""
"flexibleskeleton","[Definition for flexibleskeleton not available in batch data]","unknown","[Pronunciation for flexibleskeleton not available]","[Etymology for flexibleskeleton not available]","unknown","Claude","Claude","Claude","[Example sentence for flexibleskeleton not available]","Claude","[Memory tip for flexibleskeleton not available]","Claude","1","1","2","1","","2020","2020 Words_of_the_Champions.pdf","One Bee","True","False","Combined word error: ""flexibleskeleton"" appears to be flexible + skeleton merged together. This is likely a PDF parsing error where two separate words were incorrectly combined."
"flexitarian","A flexitarian is a person who follows a primarily vegetarian diet but occasionally eats meat or fish. This dietary approach allows for flexibility in food choices while maintaining a focus on plant-based nutrition. Flexitarians typically reduce their meat consumption for health, environmental, or ethical reasons while not completely eliminating animal products from their diet. This eating pattern represents a middle ground between vegetarianism and omnivorous diets.","noun, adjective","flek-si-TAIR-ee-an","Portmanteau combining ""flexible"" and ""vegetarian,"" coined in the early 2000s to describe this dietary approach.","English (modern coinage)","Claude","Claude","Claude","As a _______, she mostly ate vegetables and grains but enjoyed fish once or twice a week.","Claude","Remember ""FLEXI-tarian"" - someone who's FLEXIBLE about their vegetarian diet, bending the rules occasionally.","Claude","1","4","2","1","","2022; 2023; 2024; 2025","2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","Three Bee; Two Bee","False","False",""
"flight","Flight refers to the action or process of flying through the air, whether by birds, aircraft, or other objects capable of aerial movement. The word can describe the physical act of moving through air, a journey by aircraft, or a series of steps or stairs. Flight can also mean a hasty departure or escape from danger. In various contexts, flight represents movement through space, escape, or elevation above the ground.","noun","FLYHT","From Old English ""flyht,"" related to ""fly,"" ultimately from the Germanic root meaning ""to move through air.""","Old English","Claude","Claude","Claude","The eagle's graceful _______ over the canyon demonstrated the majesty of natural aviation.","Claude","Remember ""FLIGHT"" - the act of flying through air, whether by birds taking LIGHT to the sky or planes in flight.","Claude","2","4","1","1","","2024; 2025","2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"flimflammer","A flimflammer is a person who deceives others through confidence tricks, fraudulent schemes, or smooth-talking swindles. This term describes someone who uses charm, persuasion, and deceptive practices to cheat people out of their money or valuables. Flimflammers are skilled at gaining trust quickly and creating elaborate stories or scenarios to convince their victims to part with their resources. The word emphasizes the deceptive and manipulative nature of such individuals.","noun","FLIM-flam-er","From ""flimflam"" (meaning nonsense or deception, possibly imitative of meaningless chatter) plus the agent suffix ""-er.""","English","Claude","Claude","Claude","The elderly woman was fortunately warned about the _______ who was targeting seniors in her neighborhood.","Claude","Remember ""FLIM-flammer"" - a scammer who uses FLIMSY lies and SLAMS you with deceptive tricks to steal your money.","Claude","1","4","2","1","","2020; 2021; 2022; 2023; 2024","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf","One Bee; Three Bee; Two Bee","False","False",""
