"word","definition","example_sentence","difficulty_level","difficulty_name","etymology","language_origin","pronunciation","pronunciation_ipa","pronunciation_tips","common_misspellings","audio_url","source_name","source_url","source_difficulty","source_year","definition_source","etymology_source","pronunciation_source","example_source"
"aaccdi","","","2","Elementary","Etymology uncertain","","","","Remember the double C, A","[]","","Scripps National Spelling Bee","","Year 2024","2024","","Claude","",""
"aachen","","","2","Elementary","Etymology uncertain","","","","Remember the double A","[]","","Scripps National Spelling Bee","","Year 2021","2021","","Claude","",""
"aal","","","1","Beginner","Compare .","","","","Remember the double A","[]","","Scripps National Spelling Bee","","Year 2023","2023","","Wiktionary","",""
"aardvark","The nocturnal, insectivorous, burrowing, mammal Orycteropus afer, of the order Tubulidentata, somewhat resembling a pig, common in some parts of sub-Saharan Africa.","The word ___ is important to understand.","3","Intermediate","
 , , from |vark|t2=pig|pos2=from }}. Early European colonists in South Africa noticed that the animal was similar to a pig, while ''aarde'' hints at the animal's habit of burrowing.","","","/ˈɑːd.vɑːk/","Remember the double A","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"abaculus","","","4","Advanced","From , diminutive of .","","","","","[]","","Scripps National Spelling Bee","","Year 2025","2025","","Wiktionary","",""
"abaft","On the aft side; in the stern.","The word ___ is important to understand.","1","Beginner","From , , , from ;  (modern English ) +  (modern English ).<ref name=AHD></ref><ref name=RH></ref> See also .","","","/əˈbæft/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"abalones","An edible univalve mollusc of the genus Haliotis, having a shell lined with mother-of-pearl.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2022","2022","Dictionary API","Claude","","Claude"
"abandon","To give up or relinquish control of, to surrender or to give oneself over, or to yield to one's emotions.","The word ___ is important to understand.","2","Elementary","From . Gamillscheg suggests a derivation from , but the ''Trésor de la langue française'' considers this unlikely, as the phrase is not attested.","","","/əˈbæn.dən/","","[]","","Scripps National Spelling Bee","","Year 2024","2024","Dictionary API","Wiktionary","Dictionary API","Claude"
"abandoned","To give up or relinquish control of, to surrender or to give oneself over, or to yield to one's emotions.","The word ___ is important to understand.","4","Advanced","From , equivalent to .","","","/əˈbæn.dn̩d/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Wiktionary","Dictionary API","Claude"
"abashed","To make ashamed; to embarrass; to destroy the self-possession of, as by exciting suddenly a consciousness of guilt, mistake, or inferiority; to disconcert; to discomfit.","The word ___ is important to understand.","2","Elementary","Etymology uncertain","","","/əˈbæʃt/","","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","Dictionary API","Claude"
"abated","(obsolete outside law) To put an end to; to cause to cease.","The word ___ is important to understand.","1","Beginner","Etymology uncertain","","","","","[]","","Scripps National Spelling Bee","","Year 2020","2020","Dictionary API","Claude","","Claude"
"abattoir","A public slaughterhouse for cattle, sheep, etc.","The word ___ is important to understand.","2","Elementary","
, from  (cognate to ) + .","","","/ˈæb.əˌtwɑː(ɹ)/","Remember the double T","[]","https://api.dictionaryapi.dev/media/pronunciations/en/abattoir-au.mp3","Scripps National Spelling Bee","","Year 2021","2021","Dictionary API","Wiktionary","Dictionary API","Claude"
"abbreviations","The result of shortening or reducing; abridgment.","The word ___ is important to understand.","4","Advanced","Contains Latin suffix '-tion' meaning 'act or process of'","","","","Remember the double B","[]","","Scripps National Spelling Bee","","Year 2025","2025","Dictionary API","Claude","","Claude"
