id,word,old_level,new_level,definition_preview
6817d6b8-2730-475c-8921-a17430f8d33a,"aaccdi",null,2,"a random combination of letters that does not form"
f07eb1b4-e1bb-4738-b9d2-46f73cb81aa6,"aachen",3,2,"a city in western germany near the borders with be"
26fede2f-30df-4a7f-aeb3-2d4b16b9f313,"aal",null,1,"a type of freshwater eel found in europe and north"
87f02329-332b-4902-9d3d-bb5e34928750,"abaft",3,2,"located toward or at the stern (rear) of a ship; b"
ee704465-1ada-48dd-a3eb-bb5ca5bbc72b,"abandon",3,2,"to give up completely; to desert or leave behind; "
86aa76a8-781a-45c4-86f5-d647f08a4a7c,"abandoned",2,3,"having been deserted or left behind; given up comp"
b9f41970-43c9-4b16-8fa7-641524b577e7,"abashed",3,2,"feeling embarrassed, ashamed, or disconcerted; mad"
797d29d2-a8a3-40ea-b04f-0300dc1ad652,"abated",3,2,"became less intense or widespread; decreased in fo"
b8df0003-e582-4138-85d1-d946e7862fbb,"abbreviations",2,3,"shortened forms of words or phrases, typically cre"
e4c78e28-c64d-4619-a032-0c0c2cc195b6,"abdomen",3,2,"the part of the body containing the digestive orga"
b2a8459e-b41d-404f-b12a-fdaad61b87ea,"abhenry",3,2,"a unit of electrical inductance equal to one billi"
c33b7766-e008-48e4-becb-bb6e0d9e28ec,"abhijay",3,2,"a sanskrit name meaning "victorious" or "triumphan"
87bbbf99-e0a7-4ccb-8610-f543a72dba48,"ablation",2,3,"the surgical removal of body tissue; the erosive w"
b382ad89-6842-47dc-8c7f-2dcc3e3980f9,"ablaut",3,2,"a systematic change in the vowel of a word root to"
06b090d5-9ed3-4e1c-a864-16cf5acee292,"able",2,1,"having the power, skill, means, or opportunity to "
a42f9cb6-b139-4459-9b2e-92454ddcafbe,"abnegationbeguile",null,5,"the act of denying oneself or renouncing personal "
2f4c06d3-bb7c-4dfa-9d7d-eb186cfae8a9,"abodes",3,2,"places where people live; dwellings or residences,"
fef27317-3590-4fa4-ab1d-985b3ace9dbc,"abomasum",2,3,"the fourth and final stomach chamber of ruminant a"
b2db83f4-211b-47db-a2de-4bdeecb1d111,"aboriginal",2,3,"relating to the indigenous inhabitants of a region"
21bb38da-f3c6-4715-ac8a-ba8cb8561f98,"abraum",3,2,"waste material or overburden removed from a mine s"
e4938edd-c13e-445c-b1d2-c897ba910fe3,"abscess",3,2,"a localized collection of pus in body tissue, caus"
