word,definition,example_sentence,source_difficulty,difficulty_level,difficulty_name,ai_difficulty_level,ai_difficulty_name,phonetic_transparency_score,word_frequency_score,morphology_score,etymology_score,difficulty_calculation_method,part_of_speech,pronunciation_guide,etymology,etymology_source,memory_tips,alternate_spellings,language_origin,definition_source,source_names,source_difficulties,frequency,original_source,source_access_date
aachen,,The student encountered the word _____ while reading the advanced text.,One Bee,,,,,2.5,3.0,1.0,2.5,4-factor weighted model (overall_score: 2.25),,,,Claude,,,,Claude,Scripps National Spelling Bee,One Bee,3.0,Scripps National Spelling Bee Words of the Champions (2021),2025-08-19
abaculus,,The student encountered the word _____ while reading the advanced text.,Three Bee,,,,,2.5,4.0,1.0,2.5,4-factor weighted model (overall_score: 2.50),,,,Claude,,,,Claude,Scripps National Spelling Bee,Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2022, 2023, 2024, 2025)",2025-08-19
abbreviations,,The student encountered the word _____ while reading the advanced text.,Three Bee,,,,,2.5,4.0,1.0,2.5,4-factor weighted model (overall_score: 2.50),,,,Claude,,,,Claude,Scripps National Spelling Bee,Three Bee,4.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
abdomen,,The student encountered the word _____ while reading the advanced text.,Two Bee,,,,,2.5,3.0,1.0,2.5,4-factor weighted model (overall_score: 2.25),,,,Claude,,,,Claude,Scripps National Spelling Bee,Two Bee,3.0,Scripps National Spelling Bee Words of the Champions (2022),2025-08-19
aberration,,The student encountered the word _____ while reading the advanced text.,One Bee,,,,,2.5,4.0,2.0,2.5,4-factor weighted model (overall_score: 2.75),,,,Claude,,,,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
abeyance,,The student encountered the word _____ while reading the advanced text.,One Bee,,,,,2.5,4.0,1.0,2.5,4-factor weighted model (overall_score: 2.50),,,,Claude,,,,Claude,Scripps National Spelling Bee,One Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023)",2025-08-19
abhenry,,The student encountered the word _____ while reading the advanced text.,One Bee,,,,,2.5,3.0,1.0,2.5,4-factor weighted model (overall_score: 2.25),,,,Claude,,,,Claude,Scripps National Spelling Bee,One Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021)",2025-08-19
abhijay,,The student encountered the word _____ while reading the advanced text.,One Bee,,,,,2.5,3.0,1.0,2.5,4-factor weighted model (overall_score: 2.25),,,,Claude,,,,Claude,Scripps National Spelling Bee,One Bee,3.0,Scripps National Spelling Bee Words of the Champions (2020),2025-08-19
abhorrence,,The student encountered the word _____ while reading the advanced text.,One Bee,,,,,2.5,4.0,1.0,2.5,4-factor weighted model (overall_score: 2.50),,,,Claude,,,,Claude,Scripps National Spelling Bee,One Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023)",2025-08-19
abject,,The student encountered the word _____ while reading the advanced text.,Three Bee,,,,,2.5,3.0,1.0,2.5,4-factor weighted model (overall_score: 2.25),,,,Claude,,,,Claude,Scripps National Spelling Bee,Three Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2024, 2025)",2025-08-19
