word,years,source_files,source_difficulties,definition,pronunciation,etymology,etymology_source,memory_tip,example_sentence,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,difficulty,combined_word_error
matriculation,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"The process of enrolling in or being admitted to a college, university, or educational institution as a degree-seeking student. Matriculation involves completing formal admission requirements, submitting applications, transcripts, and supporting documents, and being officially accepted into an academic program. The term derives from the historical practice of registering students in official university records or matricula. Matriculation ceremonies mark the formal beginning of university study, often involving oath-taking or symbolic rituals that welcome new students into the academic community. Different institutions have varying matriculation requirements and processes, but the concept universally represents the transition from prospective student to enrolled member of an educational institution. Some universities hold special matriculation ceremonies with academic regalia and traditional customs.",/məˌtrɪk.jəˈleɪ.ʃən/,"From Medieval Latin ""matriculare,"" meaning to register or enroll, derived from ""matricula"" (register or roll).",Claude,Remember MATRICULATION = entering the MATRIX of EDUCATION - formal enrollment in college.,"After completing her ______, she received her student ID and course registration materials.",0.0,0.9,0.5,0.8,,False
matrimony,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"The formal union of marriage between two people, particularly viewed as a sacred or religious institution. Matrimony encompasses both the wedding ceremony and the ongoing marital relationship, emphasizing commitment, partnership, and often spiritual dimensions of marriage. Religious traditions typically regard matrimony as a sacrament or holy covenant blessed by divine authority. Legal matrimony creates rights, responsibilities, and social status changes recognized by government and society. The concept implies permanence, mutual support, and shared life goals between spouses. Matrimonial law governs marriage regulations, divorce proceedings, and spousal rights. Cultural traditions surrounding matrimony include engagement periods, wedding ceremonies, vows, and celebration customs that vary across different societies and religious communities.",/ˈmæt.rɪˌmoʊ.ni/,"From Latin ""matrimonium,"" derived from ""mater"" (mother), emphasizing the maternal/family aspects of marriage.",Claude,Remember MATRIMONY = MATER (mother) + union - marriage that creates families.,The couple celebrated fifty years of ______ with a golden anniversary party.,0.0,0.9,0.0,0.8,,False
matterhorn,2024,2024 Words of the Champions.pdf,Three Bee,"A famous pyramidal peak in the Alps on the border between Switzerland and Italy, known for its distinctive horn-shaped silhouette and mountaineering significance. The Matterhorn rises 14,692 feet (4,478 meters) and is one of the most photographed mountains in the world. Its steep, dramatic profile and isolated position make it an iconic symbol of Alpine climbing and Swiss tourism. The mountain's name comes from the German words meaning ""meadow peak,"" referring to the Mattertal valley below. The Matterhorn was first climbed in 1865, marking a significant achievement in mountaineering history. The peak appears on Swiss currency, logos, and countless photographs, becoming a symbol of natural grandeur and human achievement in extreme environments.",/ˈmæt.ər.hɔrn/,"From German ""Matterhorn,"" meaning ""peak of the meadows,"" from ""Matte"" (meadow) + ""Horn"" (peak).",Claude,Remember MATTERHORN = the peak that MATTERS most - iconic pyramid-shaped mountain.,"The climber gazed up at the imposing ______ peak, its sharp edges cutting dramatically against the sky.",0.0,0.9,0.0,0.8,,False
mattress,2025,2025 Words of Champion _1_.pdf,Three Bee,"A large, rectangular pad used as a bed or part of a bed, designed to support the human body during sleep and provide comfort. Modern mattresses contain various materials including springs, foam, latex, or air chambers to distribute weight and maintain proper spinal alignment. Different mattress types serve different sleep preferences: firm mattresses provide strong support, soft mattresses offer cushioning comfort, and memory foam mattresses contour to body shape. Quality mattresses contribute to better sleep health, reducing back pain and improving rest quality. Mattress construction involves multiple layers including support cores, comfort layers, and protective covers. The mattress industry has evolved from simple straw-filled sacks to sophisticated sleep systems with temperature regulation and customizable firmness levels.",/ˈmæt.rəs/,"From Arabic ""matrah,"" meaning place where something is thrown down, via Old French ""materas.""",Claude,Remember MATTRESS = the MAT you REST on - comfortable bed support for sleeping.,"After testing several options, they chose a memory foam ______ for better sleep support.",0.0,0.9,0.0,0.8,,False
mausoleum,2023,2023_Words_of_the_Champions.pdf,Two Bee,"A large, impressive tomb or burial vault, typically built above ground as a monument to honor deceased individuals of importance or wealth. Mausoleums represent elaborate architectural expressions of remembrance, often featuring classical design elements, sculptures, and inscriptions. Famous examples include the Taj Mahal in India and the original Mausoleum at Halicarnassus in ancient Turkey, one of the Seven Wonders of the Ancient World. Modern mausoleums serve as family burial sites, cemetery landmarks, and tourist attractions. These structures reflect cultural attitudes toward death, memory, and posthumous recognition. Mausoleum design varies from simple stone buildings to ornate palatial structures with artistic decorations and symbolic elements that commemorate the deceased's life and achievements.",/ˌmɔ.səˈli.əm/,"From Latin ""mausoleum,"" named after King Mausolus of Caria, whose elaborate tomb was one of the Seven Wonders.",Claude,Remember MAUSOLEUM = MAU-SO-LEUM - elaborate tomb named after King MAU-solus.,The marble ______ dominated the cemetery with its towering columns and intricate sculptures.,0.0,0.9,0.0,0.8,,False
mauve,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"A pale purple color with a pinkish tinge, named after the mallow flower; also referring to the synthetic dye that first produced this color in 1856. Mauve represents a significant milestone in chemistry and fashion history, as it was one of the first synthetic aniline dyes discovered by William Henry Perkin. Before synthetic dyes, purple colors were expensive and rare, derived from natural sources like murex shells. The discovery of mauve dye democratized purple fashion and launched the modern chemical dye industry. In color theory, mauve sits between purple and pink, creating a soft, sophisticated hue popular in interior design, fashion, and art. The color evokes femininity, elegance, and Victorian-era aesthetics, maintaining popularity in contemporary design applications.",/moʊv/,"From French ""mauve,"" meaning mallow flower, referring to the plant that inspired the color name.",Claude,Remember MAUVE = soft purple color like the MALLOW flower that moves toward pink.,The Victorian parlor was decorated in shades of ______ and cream for an elegant appearance.,0.0,0.6,0.0,0.8,,False
maverick,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,"An independent-minded person who refuses to conform to established practices or beliefs; also an unbranded range animal. The term originally described unbranded cattle that roamed freely without owners, named after Samuel Maverick, a Texas rancher who did not brand his cattle. In modern usage, a maverick represents someone who thinks and acts independently, often challenging conventional wisdom or established authority. Mavericks in politics, business, science, and arts drive innovation and social change through unconventional approaches. While sometimes viewed as troublemakers, mavericks often achieve breakthroughs by rejecting traditional limitations. The concept implies both positive qualities (creativity, courage, leadership) and potential negatives (unpredictability, difficulty working within systems). Maverick thinking contributes to progress but may create conflict with established institutions.",/ˈmæv.ər.ɪk/,"Named after Samuel Maverick, Texas cattleman who didn't brand his cattle, making them independent roamers.",Claude,"Remember MAVERICK = independent person who won't follow the herd, like unbranded cattle.",The scientist's ______ approach to research led to groundbreaking discoveries that challenged accepted theories.,0.0,0.9,0.0,0.5,,False
mawkish,2020; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Excessively sentimental, emotional, or sweet to the point of being nauseating or disgusting. Mawkish describes situations, expressions, or artistic works that attempt to evoke emotions but instead create discomfort through over-the-top sentimentality. The term originally referred to something that literally made one feel sick to the stomach, later extending to emotional reactions. Mawkish poetry, movies, or speeches lack subtlety and genuine emotion, instead relying on clichéd expressions of feeling. Critics use ""mawkish"" to describe art that manipulates audiences through artificial emotional appeals rather than authentic artistic expression. The word carries strong negative connotation, suggesting that apparent sentiment is actually shallow or insincere. Mawkish content often targets lowest-common-denominator emotional responses rather than sophisticated appreciation.",/ˈmɔ.kɪʃ/,"From obsolete ""mawk"" (maggot), originally meaning nauseating, later applied to excessive sentimentality.",Claude,"Remember MAWKISH = makes you feel sick from too much fake sentiment, like emotional MUCK.",The movie's ______ ending with overly dramatic music left audiences feeling manipulated rather than moved.,0.2,0.6,0.0,0.5,,False
mawkishflambé,2021,2021_Printable_Words of the Champions.pdf,One Bee,"A combined word error from PDF parsing that incorrectly merged ""mawkish"" and ""flambé."" This represents a data processing error where two unrelated terms were concatenated without proper spacing. Mawkish means excessively sentimental, while flambé refers to a cooking technique involving igniting alcohol. Such parsing errors occur when PDF text extraction fails to recognize word boundaries, particularly in documents with complex formatting or multiple columns. These errors highlight the challenges of automated text processing and the importance of data validation. The nonsensical combination would require manual correction or sophisticated error detection algorithms to separate into meaningful individual components.",/ˈmɔ.kɪʃflɑmˈbeɪ/,"Processing error combining ""mawkish"" (from mawk/maggot) with ""flambé"" (French cooking term). Invalid concatenation.",Claude,This is a COMBINED WORD ERROR - two different words incorrectly joined during PDF processing.,The data validation system identified ______ as an invalid word combination requiring separation.,0.2,0.9,0.3,0.8,,True
maxillae,2020,2020 Words_of_the_Champions.pdf,One Bee,"The plural form of maxilla, referring to the pair of bones that form the upper jaw and central part of the facial skeleton in vertebrates. The maxillae are crucial components of skull anatomy, housing the upper teeth and forming parts of the nasal cavity, eye sockets, and hard palate. In humans, the maxillae fuse during development to create the unified upper jaw structure. These bones contain the maxillary sinuses, air-filled cavities that lighten the skull and contribute to voice resonance. Dental procedures, facial reconstruction surgery, and orthodontics all involve working with maxillary structures. In insects and other arthropods, maxillae function as paired mouthparts used for manipulating food. Understanding maxillary anatomy is essential in fields including dentistry, oral surgery, and comparative anatomy.",/mækˈsɪl.i/,"Latin plural of ""maxilla,"" meaning jaw or jawbone, derived from the root meaning to chew.",Claude,Remember MAXILLAE = the MAX upper jaw bones - plural of maxilla.,The forensic anthropologist examined the ______ to determine the individual's age and ancestry.,0.0,0.9,0.0,0.8,,False
