word,definition,part_of_speech,pronunciation_guide,etymology,language_origins,example_sentence,memory_tip,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,difficulty,definition_source,pronunciation_source,etymology_source,memory_tip_source,example_sentence_source,source_difficulty,years,source_files,is_error,error_message
distraught,"Deeply upset and agitated; extremely worried, troubled, or distressed. Describes a state of emotional turmoil where someone is so disturbed they can barely think clearly or function normally.",adjective,dis-TRAWT (emphasis on second syllable),"From Middle English, alteration of ""distract"" influenced by ""taught."" Originally meaning ""pulled in different directions.""",Middle English,The mother was _____ when she couldn't locate her young child in the crowded mall.,"Think ""dis-TRAUGHT"" - so emotionally ""wrought"" up that you're ""dis"" (completely) disturbed and upset.",5,4,3,5,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee; Two Bee,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
distressed,"Experiencing anxiety, sorrow, or pain; showing signs of strain or damage. Can refer to emotional suffering or physical deterioration.","adjective, verb",dis-TREST (emphasis on second syllable),"From Old French ""destresse"" meaning ""constraint, oppression"" (des- ""apart"" + estrecier ""to constrain""). Via Middle English.",Old French,The _____ furniture had a deliberately aged appearance that was popular in rustic decor.,"Remember ""dis-TRESSED"" - under so much ""stress"" that you're in emotional or physical distress.",10,4,4,5,,Claude,Claude,Claude,Claude,Claude,One Bee,2020,2020 Words_of_the_Champions.pdf,False,
disturbancewily,,,,,,,,0,0,0,0,,Claude,Claude,Claude,Claude,Claude,One Bee,2020,2020 Words_of_the_Champions.pdf,True,"Combined word error: ""disturbancewily"" appears to be ""disturbance"" + ""wily"" merged together. This is likely a PDF parsing error where two separate words were incorrectly combined."
disturbed,"Having had one's peace or rest interrupted; mentally or emotionally unbalanced; moved from a settled position. Can describe interruption, mental instability, or physical displacement.","adjective, verb",dis-TURBD (emphasis on second syllable),"From Latin ""disturbare"" meaning ""to throw into disorder"" (dis- ""completely"" + turba ""crowd, disorder""). Past tense of disturb.",Latin,The patient showed signs of being emotionally _____ after the traumatic event.,"Think ""dis-TURBED"" - someone whose peace has been ""turned"" upside down, completely disrupted.",10,6,4,5,,Claude,Claude,Claude,Claude,Claude,Three Bee,2025,2025 Words of Champion _1_.pdf,False,
diurnal,"Relating to or occurring during the daytime; active during the day rather than at night. Opposite of nocturnal, describing animals, plants, or activities associated with daylight hours.",adjective,die-UR-nul (emphasis on second syllable),"From Latin ""diurnalis"" meaning ""daily"" (from dies ""day""). Scientific terminology for day-related activities.",Latin,Most birds are _____ creatures that are active during daylight hours.,"Remember ""die-URNal"" - like a ""journal"" you write during the day, diurnal means active in daytime.",9,4,1,3,,Claude,Claude,Claude,Claude,Claude,One Bee,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,False,
diva,"A celebrated female opera singer; a person, especially a woman, regarded as temperamental or haughty. Originally positive but now often implies demanding or difficult behavior.",noun,DEE-vah (emphasis on first syllable),"From Italian ""diva"" meaning ""goddess"" (from Latin ""diva"" feminine of ""divus"" meaning ""divine""). Opera terminology.",Italian from Latin,The opera _____ demanded fresh flowers in her dressing room before every performance.,"Think ""DEE-vah"" - a ""divine"" female singer who acts like a goddess, sometimes demanding special treatment.",10,7,2,5,,Claude,Claude,Claude,Claude,Claude,Three Bee; Two Bee,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
divanbadminton,,,,,,,,0,0,0,0,,Claude,Claude,Claude,Claude,Claude,One Bee,2020,2020 Words_of_the_Champions.pdf,True,"Combined word error: ""divanbadminton"" appears to be ""divan"" + ""badminton"" merged together. This is likely a PDF parsing error where two separate words were incorrectly combined."
diverge,"To separate and go in different directions; to differ in opinion, character, or form. Can refer to physical paths separating or ideas/opinions moving apart.",verb,die-VERJ (emphasis on second syllable),"From Latin ""divergere"" meaning ""to incline apart"" (dis- ""apart"" + vergere ""to bend, turn""). Mathematical and general usage.",Latin,"The hiking trail will _____ at the creek, with one path leading to the lake and the other to the mountain.","Think ""die-VERGE"" - to ""verge"" away from each other, paths or opinions moving apart and diverging.",10,6,2,5,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee; Two Bee,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
diversified,Made more varied or diverse; expanded into different areas or types. Often used in business to describe expanding into multiple markets or investments.,"adjective, verb",die-VUR-suh-fyed (emphasis on second syllable),"From ""diverse"" + ""-ify"" + ""-ed."" Meaning made diverse or varied in character.",English formation from Latin roots,"The company _____ its portfolio by investing in technology, healthcare, and renewable energy.","Remember ""die-VERSified"" - made more ""diverse,"" like different verses in a song, adding variety.",10,2,4,5,,Claude,Claude,Claude,Claude,Claude,Three Bee; Two Bee,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
diversion,"An activity that diverts the mind from serious concerns; an alternative route for traffic. Can mean entertainment, distraction, or a detour.",noun,die-VUR-zhun (emphasis on second syllable),"From Latin ""divertere"" meaning ""to turn aside"" + ""-sion."" About turning attention or direction away.",Latin,Reading mystery novels was her favorite _____ after long days at work.,"Think ""die-VERSION"" - a different ""version"" of your path or attention, turning away from the main focus.",10,6,3,5,,Claude,Claude,Claude,Claude,Claude,Three Bee,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
