id,language_id,category_id,chapter,question_text,question_type,options,correct_answer_index,explanation,difficulty_level,source_url
802f4860-9f95-41f0-a757-e1854ae68be7,84acf185-0b8c-4c2a-99f3-c5056be86d23,a60bffbc-ef33-4fbb-835c-ad35985335e5,1,What case is 'puellam'?,multiple_choice,"[""Accusative singular"", ""Nominative singular"", ""Genitive singular"", ""Ablative singular""]",0,'puellam' is Accusative singular,1,Henle First Year Latin - Chapter 1
0f535935-474b-4ad1-b923-64bc86d6fd07,84acf185-0b8c-4c2a-99f3-c5056be86d23,a60bffbc-ef33-4fbb-835c-ad35985335e5,1,What case is 'puellae'?,multiple_choice,"[""Genitive singular"", ""Nominative plural"", ""Dative singular"", ""Vocative plural""]",0,Could also be dative singular or nominative plural,1,Henle First Year Latin - Chapter 1
13cc8de8-106d-406a-8157-b54f9f07437d,84acf185-0b8c-4c2a-99f3-c5056be86d23,a60bffbc-ef33-4fbb-835c-ad35985335e5,1,What case is 'puellis'?,multiple_choice,"[""Dative plural"", ""Nominative plural"", ""Accusative plural"", ""Genitive plural""]",0,Could also be ablative plural,1,Henle First Year Latin - Chapter 1
2a4262b8-a201-436b-b223-33a7aac0ab5f,84acf185-0b8c-4c2a-99f3-c5056be86d23,a60bffbc-ef33-4fbb-835c-ad35985335e5,1,Form the accusative singular of 'terra',fill_in_blank,"[""terram""]",0,The accusative singular of 'terra' is 'terram',1,Henle First Year Latin - Chapter 1
04025399-c535-4551-86c1-ec72e975922c,84acf185-0b8c-4c2a-99f3-c5056be86d23,a60bffbc-ef33-4fbb-835c-ad35985335e5,1,Form the genitive plural of 'aqua',fill_in_blank,"[""aquarum""]",0,The genitive plural of 'aqua' is 'aquarum',1,Henle First Year Latin - Chapter 1
d7cfbad0-25cf-4451-a175-9fb2ede8621a,84acf185-0b8c-4c2a-99f3-c5056be86d23,a60bffbc-ef33-4fbb-835c-ad35985335e5,1,Form the dative singular of 'femina',fill_in_blank,"[""feminae""]",0,The dative singular of 'femina' is 'feminae',1,Henle First Year Latin - Chapter 1
006f9acc-88ec-4383-9caf-f56acf8422c7,84acf185-0b8c-4c2a-99f3-c5056be86d23,1b922f3b-71da-490a-a6de-2637b2313c95,1,What does 'aqua' mean?,multiple_choice,"[""soldier"", ""tree"", ""water"", ""friend""]",0,'aqua' means 'water',1,Henle First Year Latin - Chapter 1
48e29e85-b61e-42aa-bed3-192dded59edf,84acf185-0b8c-4c2a-99f3-c5056be86d23,1b922f3b-71da-490a-a6de-2637b2313c95,1,What does 'femina' mean?,multiple_choice,"[""road"", ""woman"", ""friend"", ""tree""]",0,'femina' means 'woman',1,Henle First Year Latin - Chapter 1
96296fbd-3409-420d-93cb-6b5c352cc18b,84acf185-0b8c-4c2a-99f3-c5056be86d23,1b922f3b-71da-490a-a6de-2637b2313c95,1,What does 'porta' mean?,multiple_choice,"[""temple"", ""gate"", ""friend"", ""road""]",0,'porta' means 'gate',1,Henle First Year Latin - Chapter 1
b0760ee2-0c71-4c0f-923c-54784f41e621,84acf185-0b8c-4c2a-99f3-c5056be86d23,1b922f3b-71da-490a-a6de-2637b2313c95,1,What does 'puella' mean?,multiple_choice,"[""road"", ""house"", ""friend"", ""girl""]",0,'puella' means 'girl',1,Henle First Year Latin - Chapter 1
