id,name,level,path,original_description,new_description,focus_areas,difficulty_level
78a6662f-6af5-4ab0-ba55-083c6ff14239,19th Century,1,Great Books > 19th Century,[NO DESCRIPTION],[DRY RUN] Would generate improved description,[DRY RUN],intermediate
76443801-6ec6-4528-bff5-aa8b0c7eaed8,20th Century,1,Great Books > 20th Century,[NO DESCRIPTION],[DRY RUN] Would generate improved description,[DRY RUN],intermediate
515ee8e7-e66b-4c34-83ec-147b0610778c,Academic Writing & Citation,1,Research & Information Literacy > Academic Writing & Citation,[NO DESCRIPTION],[DRY RUN] Would generate improved description,[DRY RUN],intermediate
fe3b2a2d-7e4b-4d66-b3d4-e4f592cfcea1,Adolescent Development,1,Developmental Psychology > Adolescent Development,[NO DESCRIPTION],[DRY RUN] Would generate improved description,[DRY RUN],intermediate
1e814efd-e464-40b7-81b0-e3aae5ae824a,Afterlife Beliefs,1,Egyptian Religion and Mythology > Afterlife Beliefs,[NO DESCRIPTION],[DRY RUN] Would generate improved description,[DRY RUN],intermediate
e3470400-62ac-4dae-9ff3-005dd597140a,Agile and Methodologies,1,Project Management & Operations > Agile and Methodologies,[NO DESCRIPTION],[DRY RUN] Would generate improved description,[DRY RUN],intermediate
8490c251-39d6-4354-b8eb-49163c97e3b9,Akhenaten and Monotheism,1,New Kingdom > Akhenaten and Monotheism,[NO DESCRIPTION],[DRY RUN] Would generate improved description,[DRY RUN],intermediate
5a326853-bac8-4013-8867-c8e1e8ff9aec,Ancient Period (8th century BC - 5th century AD),1,Great Books > Ancient Period (8th century BC - 5th century AD),[NO DESCRIPTION],[DRY RUN] Would generate improved description,[DRY RUN],intermediate
6e723e4d-8121-4bf3-b211-2e9bca7f98e8,Animation,1,Media & Film Arts > Animation,[NO DESCRIPTION],[DRY RUN] Would generate improved description,[DRY RUN],intermediate
3cdebed9-47c6-48f7-a9bd-20b37caef737,Aqueducts and Roads,1,Roman Culture and Society > Aqueducts and Roads,[NO DESCRIPTION],[DRY RUN] Would generate improved description,[DRY RUN],intermediate
