Module,Question,Options,CorrectIndex,CorrectAnswer,Explanation,Difficulty
"First Declension Nouns","What is the genitive singular ending for first declension nouns?","-a|-ae|-am|-ā",1,"-ae","First declension nouns have -ae as their genitive singular ending. This is the key identifier of first declension.","easy"
"First Declension Nouns","Translate 'puella' into English:","boy|girl|woman|man",1,"girl","Puella means 'girl' in Latin. It's a common first declension noun.","easy"
"First Declension Nouns","Which case is 'puellārum'?","Nominative singular|Genitive singular|Genitive plural|Accusative plural",2,"Genitive plural","The ending -ārum indicates genitive plural in the first declension.","easy"
"First Declension Nouns","What is the nominative plural of 'porta' (gate)?","portae|portās|portārum|portīs",0,"portae","First declension nominative plural ends in -ae.","easy"
"First Declension Nouns","In 'Puella rosam habet', what case is 'rosam'?","Nominative|Genitive|Dative|Accusative",3,"Accusative","Rosam ends in -am, which is the accusative singular ending for first declension. It's the direct object.","easy"
"First Declension Nouns","Which of these is a first declension noun?","dominus|bellum|aqua|puer",2,"aqua","Aqua (water) is a first declension noun, ending in -a in the nominative.","easy"
"First Declension Nouns","What is the ablative singular ending for first declension?","-a|-ae|-ā|-īs",2,"-ā","First declension ablative singular has a long -ā ending.","easy"
"First Declension Nouns","Translate 'fēminae' (genitive singular):","of the woman|to the woman|the women|by the woman",0,"of the woman","Genitive case shows possession: 'of the woman'.","easy"
"Second Declension Masculine Nouns","What is the genitive singular ending for second declension masculine nouns?","-us|-ī|-um|-ō",1,"-ī","Second declension masculine nouns have -ī as their genitive singular ending.","easy"
"Second Declension Masculine Nouns","What is the nominative plural of 'servus' (slave)?","servī|servōs|servum|servōrum",0,"servī","Second declension masculine nominative plural ends in -ī.","easy"
"Second Declension Masculine Nouns","Translate 'amīcus' into English:","enemy|friend|soldier|master",1,"friend","Amīcus means 'friend' in Latin.","easy"
"Second Declension Masculine Nouns","In 'Dominus servum videt', what case is 'servum'?","Nominative|Genitive|Accusative|Ablative",2,"Accusative","Servum ends in -um, which is the accusative singular for second declension masculine.","easy"
"Second Declension Masculine Nouns","Which form is the vocative singular of 'fīlius' (son)?","fīlie|fīlī|fīlius|fīliī",1,"fīlī","Second declension nouns ending in -ius have vocative singular in -ī (not -ie).","easy"
"Second Declension Masculine Nouns","What is the dative plural of 'deus' (god)?","deīs|deōs|deōrum|deī",0,"deīs","Second declension dative/ablative plural ends in -īs.","easy"
"Second Declension Masculine Nouns","Which ending indicates second declension masculine accusative plural?","-ōs|-ās|-a|-ēs",0,"-ōs","Second declension masculine accusative plural ends in -ōs.","easy"
"Second Declension Masculine Nouns","Translate 'equus':","foot soldier|horse|rider|chariot",1,"horse","Equus means 'horse' in Latin.","easy"
"Second Declension Neuter Nouns","What is the nominative plural ending for second declension neuter nouns?","-a|-ī|-um|-ōrum",0,"-a","Second declension neuter nouns have -a as their nominative AND accusative plural ending.","easy"
"Second Declension Neuter Nouns","Translate 'bellum' into English:","beautiful|war|good|book",1,"war","Bellum means 'war' in Latin. It's a common second declension neuter noun.","easy"
"Second Declension Neuter Nouns","What cases are always the same in neuter nouns?","Nominative and Genitive|Nominative and Accusative|Genitive and Dative|Dative and Ablative",1,"Nominative and Accusative","In all neuter nouns, the nominative and accusative forms are identical.","easy"
"Second Declension Neuter Nouns","What is the genitive plural of 'dōnum' (gift)?","dōna|dōnī|dōnōrum|dōnīs",2,"dōnōrum","Second declension genitive plural is -ōrum for both masculine and neuter.","easy"
"Second Declension Neuter Nouns","In 'Templa magna sunt', what case is 'templa'?","Nominative singular|Nominative plural|Accusative singular|Accusative plural",1,"Nominative plural","Templa with -a ending is nominative plural (subject). 'Sunt' (are) confirms plural.","easy"
"Second Declension Neuter Nouns","What is the ablative singular of 'verbum' (word)?","verbō|verbī|verbīs|verba",0,"verbō","Second declension neuter ablative singular ends in -ō.","easy"
"Second Declension Neuter Nouns","Which is a neuter second declension noun?","hortus|oppidum|servus|dominus",1,"oppidum","Oppidum (town) is neuter, ending in -um.","easy"
