word,definition,example_sentence,source_difficulty,difficulty_level,difficulty_name,ai_difficulty_level,ai_difficulty_name,phonetic_transparency_score,word_frequency_score,morphology_score,etymology_score,difficulty_calculation_method,part_of_speech,pronunciation_guide,etymology,etymology_source,memory_tips,alternate_spellings,language_origin,definition_source,source_names,source_difficulties,frequency,original_source,source_access_date
darjeelingrecusancy,"[COMBINED WORD ERROR] This appears to be two words incorrectly joined: ""darjeeling"" (a type of tea) + ""recusancy"" (refusal to accept religious authority).",[ERROR - This combined word should not appear in spelling bee materials],Two Bee,,,,,4.0,4.0,1.0,4.0,4-factor weighted model (overall_score: 3.25),error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],Claude,"This is a data error - should be separated into ""darjeeling"" and ""recusancy""",darjeeling + recusancy (separate words),ERROR - combined words,Claude,Scripps National Spelling Bee,Two Bee,4.0,Scripps National Spelling Bee Words of the Champions (2023),2025-08-19
dark,Having little or no light; of a deep or somber color; hidden or mysterious; evil or sinister.,The _____ forest was difficult to navigate without a flashlight.,Three Bee,,,,,1.0,1.0,1.0,1.3,4-factor weighted model (overall_score: 1.06),"adjective, noun",DAHRK (emphasis on first syllable),"From Old English ""deorc"" meaning ""dark, gloomy""",Claude,"Think ""D-ark"" - the letter D looks like darkness","murky, dim",Old English,Claude,Scripps National Spelling Bee,Three Bee,1.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
darmstadtium,"A synthetic chemical element with symbol Ds and atomic number 110; a very heavy, radioactive metal.",The scientists created _____ in their particle accelerator laboratory.,Three Bee,,,,,2.0,4.0,1.0,3.0,4-factor weighted model (overall_score: 2.45),noun,dahrm-SHTAHT-ee-uhm (emphasis on second syllable),"Named after Darmstadt, Germany, where it was first synthesized",Claude,"Think ""Darmstadt-ium"" - the element from Darmstadt",element 110,German (place name),Claude,Scripps National Spelling Bee,Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2022, 2023, 2024, 2025)",2025-08-19
darnel,A type of poisonous grass that resembles wheat; a weed that grows among grain crops.,The farmer had to remove the _____ from his wheat field.,One Bee,,,,,2.0,3.0,1.0,2.6,4-factor weighted model (overall_score: 2.12),noun,DAHR-nuhl (emphasis on first syllable),"From Old French ""darnelle"", possibly from a Celtic language",Claude,"Think ""darn-ell"" - darn that weed that looks like grain","tare, ryegrass",Celtic via Old French,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2021, 2022, 2024, 2025)",2025-08-19
darted,Moved quickly and suddenly in a particular direction; threw a dart or pointed object.,The rabbit _____ across the field when it saw the fox.,One Bee,,,,,2.0,3.0,2.0,2.3,4-factor weighted model (overall_score: 2.31),verb (past tense),DAHR-tid (emphasis on first syllable),"From ""dart"" + ""-ed"", where ""dart"" comes from Old French ""dart""",Claude,"Think ""dart-ed"" - moved like a thrown dart","rushed, shot",Old French,Claude,Scripps National Spelling Bee,One Bee,3.0,Scripps National Spelling Bee Words of the Champions (2021),2025-08-19
darts,A game played by throwing small pointed missiles at a circular target; the missiles themselves.,The pub had a _____ board where customers could play games.,Three Bee,,,,,2.0,3.0,1.0,2.3,4-factor weighted model (overall_score: 2.06),"noun (plural), verb",DAHRTS (emphasis on first syllable),"From Old French ""dart"" meaning ""spear, javelin""",Claude,"Think ""darts"" - sharp points that dart through the air","arrows, projectiles",Old French,Claude,Scripps National Spelling Bee,Three Bee,3.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
darwinism,"The theory of evolution by natural selection, as proposed by Charles Darwin.",The biology class studied _____ and natural selection.,Two Bee,,,,,2.0,4.0,2.0,4.0,4-factor weighted model (overall_score: 2.90),noun,DAHR-wi-nizm (emphasis on first syllable),"Named after Charles Darwin + ""-ism""",Claude,"Think ""Darwin-ism"" - the beliefs and theories of Darwin",evolutionary theory,English (proper name),Claude,Scripps National Spelling Bee,Two Bee,4.0,Scripps National Spelling Bee Words of the Champions (2022),2025-08-19
dash,To run quickly; to strike or throw with force; a small amount; a punctuation mark.,She had to _____ to catch the departing train.,One Bee,,,,,1.0,1.0,1.0,1.3,4-factor weighted model (overall_score: 1.06),"verb, noun",DASH (emphasis on first syllable),"From Middle English, possibly imitative of the sound of striking",Claude,"Think of the sound ""dash"" - quick movement or striking","rush, hurry",Middle English,Claude,Scripps National Spelling Bee,One Bee,1.0,Scripps National Spelling Bee Words of the Champions (2021),2025-08-19
dashiki,"A colorful traditional African shirt, typically worn by men, with elaborate patterns and designs.",He wore a bright _____ to celebrate African Heritage Day.,Three Bee,,,,,2.0,3.0,1.0,4.0,4-factor weighted model (overall_score: 2.40),noun,dah-SHEE-kee (emphasis on second syllable),"From Yoruba ""danshiki"" or ""dàǹṣíkí""",Claude,"Think ""dash-iki"" - a shirt with dashing African patterns",African shirt,Yoruba (West African),Claude,Scripps National Spelling Bee,Three Bee,3.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
data,"Facts, figures, and information, especially when examined and used to make decisions; computer information.",The scientists collected _____ from their experiments.,Three Bee,,,,,1.0,1.0,1.0,2.3,4-factor weighted model (overall_score: 1.26),noun,DAY-tah or DAT-ah (emphasis on first syllable),"From Latin ""data"", plural of ""datum"" meaning ""something given""",Claude,"Think ""date-a"" - dating facts and information","information, facts",Latin,Claude,Scripps National Spelling Bee,Three Bee,1.0,Scripps National Spelling Bee Words of the Champions (2024),2025-08-19
