"word","definition","example_sentence","source_difficulty","difficulty_level","difficulty_name","ai_difficulty_level","ai_difficulty_name","phonetic_transparency_score","word_frequency_score","morphology_score","etymology_score","difficulty_calculation_method","part_of_speech","pronunciation_guide","etymology","etymology_source","memory_tips","alternate_spellings","language_origin","definition_source","source_names","source_difficulties","frequency","original_source","source_access_date"
"sugars","Plural of sugar; sweet crystalline substances obtained from various plants, especially sugar cane and sugar beet, used as a sweetener in food and drink. Can also refer to various carbohydrates that provide energy to living organisms.","The recipe called for two different types of _____ to achieve the perfect sweetness.","Three Bee","","","","","1.5","3.0","1.0","2.0","4-factor weighted model (overall_score: 1.92)","noun (plural)","SHUG-erz (emphasis on first syllable)","From Old French ""sucre,"" from Latin ""saccharum,"" from Greek ""sakkharon""","Claude","Think of multiple sugar cubes - just add ""s"" to sugar","","Greek via Latin and French","Claude","Scripps National Spelling Bee","Three Bee","3.0","Scripps National Spelling Bee Words of the Champions (2025)","2025-08-19"
"suitable","Right or appropriate for a particular person, purpose, or situation; fitting; proper. Describes something that meets the requirements or standards needed for a specific use or context.","The candidate's experience made her highly _____ for the position.","One Bee; Three Bee; Two Bee","","","","","2.0","2.0","1.5","1.5","4-factor weighted model (overall_score: 1.78)","adjective","SOOT-uh-buhl (emphasis on first syllable)","From ""suit"" (to fit) + ""-able"" suffix meaning ""capable of""","Claude","Think ""suit-able"" - able to suit the situation","","English","Claude","Scripps National Spelling Bee","One Bee; Three Bee; Two Bee","2.0","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024; 2025)","2025-08-19"
"sukhatankar","A proper noun, likely a surname of Indian origin. In spelling bee contexts, it represents the challenge of spelling unfamiliar proper names that may not follow standard English phonetic patterns.","The student carefully spelled the surname _____ during the competition.","One Bee","","","","","3.0","1.0","1.5","3.0","4-factor weighted model (overall_score: 2.03)","proper noun","soo-KAH-tan-kar (emphasis on second syllable)","Sanskrit origin, likely meaning ""happiness"" (sukha) combined with a suffix","Claude","Break into parts: ""sukha"" (happiness in Sanskrit) + ""tankar""","","Sanskrit","Claude","Scripps National Spelling Bee","One Bee","1.0","Scripps National Spelling Bee Words of the Champions (2020)","2025-08-19"
"sulcus","A groove, furrow, or fissure, especially one on the surface of the brain that separates adjacent convolutions. In anatomy, it refers to any linear depression or valley-like structure on a body surface.","The neurosurgeon identified the central _____ of the brain during the examination.","One Bee; Two Bee","","","","","1.5","1.5","1.0","2.0","4-factor weighted model (overall_score: 1.48)","noun","SUL-kuhs (emphasis on first syllable)","From Latin ""sulcus"" meaning ""furrow"" or ""groove""","Claude","Think ""sulk-us"" - a groove that makes the brain sulk","","Latin","Claude","Scripps National Spelling Bee","One Bee; Two Bee","1.5","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023)","2025-08-19"
"sultana","A small, light-colored, seedless raisin; also the wife or mother of a sultan; a type of pale yellow grape. The term can refer to the dried fruit commonly used in baking or the royal female title.","The recipe called for a cup of _____ raisins to add sweetness to the bread.","One Bee","","","","","2.0","1.0","1.0","1.5","4-factor weighted model (overall_score: 1.35)","noun","suhl-TAN-uh (emphasis on second syllable)","From Arabic ""sultan"" (ruler) with feminine suffix ""-a""","Claude","Think ""sultan-a"" - the female version of sultan, or a golden raisin","","Arabic","Claude","Scripps National Spelling Bee","One Bee","1.0","Scripps National Spelling Bee Words of the Champions (2020; 2021)","2025-08-19"
"sultanate","The territory ruled by a sultan; the office, position, or dominion of a sultan. Refers to both the geographical area under a sultan's control and the institution of sultanic rule.","The Ottoman _____ lasted for over six centuries.","Three Bee","","","","","2.5","3.0","1.0","1.5","4-factor weighted model (overall_score: 2.08)","noun","SUL-tuh-nayt (emphasis on first syllable)","From Arabic ""sultan"" (ruler) + ""-ate"" suffix indicating office or territory","Claude","Think ""sultan-ate"" - the territory that a sultan ate up (conquered)","","Arabic","Claude","Scripps National Spelling Bee","Three Bee","3.0","Scripps National Spelling Bee Words of the Champions (2024)","2025-08-19"
"sumatran","Of or relating to Sumatra, a large island in western Indonesia. Often used to describe things originating from or characteristic of Sumatra, such as Sumatran tigers or Sumatran coffee.","The _____ tiger is critically endangered with fewer than 400 remaining in the wild.","Three Bee; Two Bee","","","","","2.0","2.5","1.0","3.0","4-factor weighted model (overall_score: 2.10)","adjective","soo-MAH-truhn (emphasis on second syllable)","From ""Sumatra"" (Sanskrit ""Swarnadwipa"" meaning ""island of gold"") + ""-an"" suffix","Claude","Think ""Sumatra-n"" - from the island of Sumatra","","Sanskrit","Claude","Scripps National Spelling Bee","Three Bee; Two Bee","2.5","Scripps National Spelling Bee Words of the Champions (2022; 2023; 2024; 2025)","2025-08-19"
"sumerian","Of or relating to ancient Sumer or its people, language, or culture. The Sumerians created one of the world's first civilizations in Mesopotamia and developed the earliest known writing system.","The _____ cuneiform tablets contain some of humanity's earliest written records.","Three Bee","","","","","2.0","3.0","1.0","1.5","4-factor weighted model (overall_score: 1.95)","adjective, noun","soo-MEER-ee-uhn (emphasis on second syllable)","From ""Sumer"" (ancient region in Mesopotamia) + ""-ian"" suffix","Claude","Think ""Sumer-ian"" - from ancient Sumer civilization","","English (from place name)","Claude","Scripps National Spelling Bee","Three Bee","3.0","Scripps National Spelling Bee Words of the Champions (2024)","2025-08-19"
"summer","The warmest season of the year, occurring between spring and autumn when the sun is highest in the sky. Characterized by long days, warm weather, and in many regions, school vacations.","The children looked forward to their _____ vacation at the beach.","One Bee; Three Bee","","","","","1.5","2.0","1.0","3.0","4-factor weighted model (overall_score: 1.83)","noun, verb","SUH-mer (emphasis on first syllable)","From Old English ""sumor,"" related to Sanskrit ""sama"" meaning ""season""","Claude","Think of the sun making everything warmer","","Sanskrit via Old English","Claude","Scripps National Spelling Bee","One Bee; Three Bee","2.0","Scripps National Spelling Bee Words of the Champions (2021; 2025)","2025-08-19"
"summit","The highest point of a mountain or hill; the top or apex of something; a meeting between heads of state or other high-ranking officials. Can refer to physical peaks or metaphorical high points.","The climbers reached the _____ of Mount Everest after weeks of preparation.","Two Bee","","","","","1.5","2.0","1.0","2.0","4-factor weighted model (overall_score: 1.62)","noun, verb","SUH-mit (emphasis on first syllable)","From Old French ""sommet,"" from Latin ""summum"" meaning ""highest""","Claude","Think ""sum-mit"" - the sum of all the climbing effort","","Latin","Claude","Scripps National Spelling Bee","Two Bee","2.0","Scripps National Spelling Bee Words of the Champions (2022)","2025-08-19"
"summoned","Past tense of summon; called upon or requested to appear, especially in an official capacity; invoked or called forth through magic or supernatural means; commanded to come.","The witness was _____ to appear in court the following Monday.","Three Bee; Two Bee","","","","","2.0","2.5","1.0","2.0","4-factor weighted model (overall_score: 1.90)","verb (past tense)","SUH-muhnd (emphasis on first syllable)","From Latin ""summonere,"" from ""sub"" (under) + ""monere"" (to warn)","Claude","Think ""sum-moned"" - called to sum up and appear","","Latin","Claude","Scripps National Spelling Bee","Three Bee; Two Bee","2.5","Scripps National Spelling Bee Words of the Champions (2022; 2023; 2024; 2025)","2025-08-19"
"summoning","The act of calling someone or something to appear; the process of invoking or calling forth, especially through magical means; requesting presence in an official capacity.","The wizard began _____ ancient spirits to aid in the battle.","Three Bee","","","","","2.5","3.0","1.0","2.0","4-factor weighted model (overall_score: 2.17)","noun, verb (present participle)","SUH-muh-ning (emphasis on first syllable)","From Latin ""summonere,"" from ""sub"" (under) + ""monere"" (to warn)","Claude","Think ""summon-ing"" - the ongoing act of calling forth","","Latin","Claude","Scripps National Spelling Bee","Three Bee","3.0","Scripps National Spelling Bee Words of the Champions (2025)","2025-08-19"
"sumpsimus","A correct expression or reading that is retained instead of a popular but erroneous one; adherence to a correct but unpopular usage. Represents scholarly accuracy over popular misconception.","The professor insisted on the _____ despite students preferring the popular incorrect version.","One Bee; Two Bee","","","","","2.5","1.5","1.0","2.0","4-factor weighted model (overall_score: 1.73)","noun","SUHMP-si-muhs (emphasis on first syllable)","From Latin, literally ""we have taken,"" used in a story about correct vs. incorrect Latin","Claude","Think ""sump-simus"" - we sump up the correct version","","Latin","Claude","Scripps National Spelling Bee","One Bee; Two Bee","1.5","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023)","2025-08-19"
"sundae","A dessert consisting of ice cream served in a dish and topped with syrup, nuts, whipped cream, fruit, or other garnishments. A popular frozen treat often served in ice cream parlors.","She ordered a hot fudge _____ with extra whipped cream and a cherry on top.","One Bee; Two Bee","","","","","1.5","1.5","1.0","1.5","4-factor weighted model (overall_score: 1.38)","noun","SUHN-day (emphasis on first syllable)","Possibly named after Sunday, when it was originally served, or variant spelling to avoid religious association","Claude","Think ""sun-dae"" - a sunny day treat, but spelled differently than the day","","English","Claude","Scripps National Spelling Bee","One Bee; Two Bee","1.5","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023)","2025-08-19"
"sundar","A name of Sanskrit origin meaning ""beautiful"" or ""handsome."" In spelling bee contexts, represents the challenge of spelling names from different cultural backgrounds with specific phonetic patterns.","The student spelled the name _____ correctly by remembering its Sanskrit meaning.","One Bee; Three Bee","","","","","1.5","2.0","1.0","3.0","4-factor weighted model (overall_score: 1.83)","proper noun","SOON-dar (emphasis on first syllable)","From Sanskrit ""sundara"" meaning ""beautiful"" or ""handsome""","Claude","Think ""sun-dar"" - as beautiful as the sun","","Sanskrit","Claude","Scripps National Spelling Bee","One Bee; Three Bee","2.0","Scripps National Spelling Bee Words of the Champions (2020; 2025)","2025-08-19"
"sundering","Present participle of sunder; the act of breaking apart, splitting, or separating something that was previously joined; tearing asunder; dividing forcibly or violently.","The earthquake was _____ the earth into deep chasms and crevices.","One Bee","","","","","2.5","1.0","1.0","1.5","4-factor weighted model (overall_score: 1.48)","verb (present participle)","SUHN-der-ing (emphasis on first syllable)","From Old English ""sundrian,"" related to ""asunder"" meaning ""apart""","Claude","Think ""sun-dering"" - like the sun coming through clouds, splitting them apart","","Old English","Claude","Scripps National Spelling Bee","One Bee","1.0","Scripps National Spelling Bee Words of the Champions (2020)","2025-08-19"
"sundry","Various; several; miscellaneous items of different kinds; diverse or assorted things not specifically categorized. Often used to describe a collection of different small items.","The shop sold _____ items including soap, candy, and small tools.","One Bee","","","","","1.5","1.0","1.0","1.5","4-factor weighted model (overall_score: 1.23)","adjective, noun","SUHN-dree (emphasis on first syllable)","From Old English ""syndrig"" meaning ""separate"" or ""individual""","Claude","Think ""sun-dry"" - various things dried in the sun","","Old English","Claude","Scripps National Spelling Bee","One Bee","1.0","Scripps National Spelling Bee Words of the Champions (2020)","2025-08-19"
"sunflower","A tall plant with large yellow flower heads that turn to face the sun throughout the day; the seeds of this plant, often eaten as snacks or used to produce oil.","The giant _____ in the garden grew over ten feet tall this summer.","One Bee; Three Bee; Two Bee","","","","","2.5","2.0","1.0","1.5","4-factor weighted model (overall_score: 1.78)","noun","SUHN-flow-er (emphasis on first syllable)","Compound word: ""sun"" + ""flower,"" named for its sun-following behavior","Claude","Compound word: sun + flower - a flower that follows the sun","","English","Claude","Scripps National Spelling Bee","One Bee; Three Bee; Two Bee","2.0","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024; 2025)","2025-08-19"
