Question,Answer,Difficulty,Type,Verb,Tense,Person,Has_Audio,Has_Image,Anki_Tags
"El verbo enél eses _____","ser","Advanced","fill_in_blank","None","None","None","No","No"," ends_in_er extreme_irregularity infinitivo irregular_verb regular_form ser "
"Mientras estoy estudiando…ella está _____ (vigilada)","siendo","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity gerundio irregular_verb regular_form ser "
"Hugo ha _____ (vigilado)","sido","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity irregular_verb participio regular_form ser "
"⊙ Ahora mismo, ⊙yo _____ (consciente de ello)","soy","Elementary","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity irregular_form irregular_verb presente ser yo "
"⊙ Ahora mismo, ⊙tú _____ (consciente de ello)","eres","Elementary","fill_in_blank","ser","None","None","No","No"," dicho ends_in_er extreme_irregularity in_the_wild irregular_form irregular_verb presente ser tú tú_vos "
"⊙ Ahora mismo, ⊙vos _____ (consciente de ello)","sos","Elementary","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity irregular_form irregular_verb presente ser tú_vos vos "
"⊙ Ahora mismo, ⊙él/ella/usted _____ (consciente de ello)","es","Elementary","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity in_the_wild irregular_form irregular_verb modismo presente ser él_ella_usted "
"⊙ Ahora mismo, ⊙nosotros _____ (conscientes de ello)","somos","Elementary","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity irregular_form irregular_verb nosotros presente ser "
"⊙ Ahora mismo, ⊙vosotros _____ (conscientes de ello)","sois","Elementary","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity irregular_form irregular_verb presente ser vosotros "
"⊙ Ahora mismo, ⊙ellos/ellas/ustedes _____ (conscientes de ello)","son","Elementary","fill_in_blank","ser","None","None","No","No"," ellos_ellas_ustedes ends_in_er extreme_irregularity irregular_form irregular_verb presente ser "
"⇠ En esa época, a menudo, ⇠yo _____ (consciente de ello)","era","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity imperfecto irregular_form irregular_verb ser yo "
"⇠ En esa época, a menudo, ⇠tú/vos _____ (consciente de ello)","eras","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity imperfecto irregular_form irregular_verb ser tú_vos "
"⇠ En esa época, a menudo, ⇠él/ella/usted _____ (consciente de ello)","era","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity imperfecto irregular_form irregular_verb ser él_ella_usted "
"⇠ En esa época, a menudo, ⇠nosotros _____ (conscientes de ello)","éramos","Advanced","fill_in_blank","ser","None","None","No","No"," dicho ends_in_er extreme_irregularity imperfecto in_the_wild irregular_form irregular_verb nosotros ser "
"⇠ En esa época, a menudo, ⇠vosotros _____ (conscientes de ello)","erais","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity imperfecto irregular_form irregular_verb ser vosotros "
"⇠ En esa época, a menudo, ⇠ellos/ellas/ustedes _____ (conscientes de ello)","eran","Advanced","fill_in_blank","ser","None","None","No","No"," ellos_ellas_ustedes ends_in_er extreme_irregularity imperfecto irregular_form irregular_verb ser "
"↧ En aquel momento ↧yo _____ (consciente de ello)","fui","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity indefinido irregular_form irregular_verb ser yo "
"↧ En aquel momento ↧tú/vos _____ (consciente de ello)","fuiste","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity indefinido irregular_form irregular_verb ser tú_vos "
"↧ En aquel momento ↧él/ella/usted _____ (consciente de ello)","fue","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity indefinido irregular_form irregular_verb ser él_ella_usted "
"↧ En aquel momento ↧nosotros _____ (conscientes de ello)","fuimos","Advanced","fill_in_blank","ser","None","None","No","No"," ends_in_er extreme_irregularity indefinido irregular_form irregular_verb nosotros ser "
