id,language,word,base_form,zipf_frequency,difficulty_id,english_translation,pronunciation_guide,part_of_speech,definition_english,translation_source,created_at
88dd954a-7f02-49a4-a62d-1bc6db2e264f,es,la,ar,7.6,1,the,la,noun,the,GoogleTranslator,2025-08-25T02:14:59.758077
66dd9069-b1f5-45ef-bb6f-16f026f141e4,es,que,queer,7.5,1,that,keh,noun,that,GoogleTranslator,2025-08-25T02:14:59.958519
20c78ce5-a8ba-4f7c-a833-b2ed9ffaafa1,es,los,lo,7.2,1,the,los,noun,the,GoogleTranslator,2025-08-25T02:15:00.143057
9b971d49-29a2-4dc8-acf4-cedfb9ea5c02,es,se,sar,7.1,1,HE,se,noun,HE,GoogleTranslator,2025-08-25T02:15:00.315383
be416a21-7e88-416e-96a6-1236f925b8fa,es,las,laser,7.0,1,the,las,noun,the,GoogleTranslator,2025-08-25T02:15:00.499697
c3c69d1d-ecaa-44b5-867f-c4252b93fa2a,es,con,car,7.0,1,with,con,noun,with,GoogleTranslator,2025-08-25T02:15:00.681879
73456e4d-7a84-42e0-9ffc-05f247e3faeb,es,una,unir,7.0,1,a,una,noun,a,GoogleTranslator,2025-08-25T02:15:00.864825
2557acb8-a7d9-44b6-b08a-6c9640c96a5e,es,para,parar,6.9,1,for,para,noun,for,GoogleTranslator,2025-08-25T02:15:01.064035
94561734-f2fa-44ef-a2af-c87883b276e1,es,me,mear,6.7,1,me,me,noun,me,GoogleTranslator,2025-08-25T02:15:01.251284
e5d166e1-3843-4457-8fea-1686b3a592bc,es,pero,peer,6.6,1,but,pero,noun,but,GoogleTranslator,2025-08-25T02:15:01.424216
ff01da53-bc03-4a3d-b5db-500d37704e31,es,aires,aire,5.0,1,AIRES,aires,noun,AIRES,GoogleTranslator,2025-08-25T02:15:01.590603
754b6243-c25d-417e-b952-ec0bf9f276d1,es,banda,bando,5.0,1,band,banda,noun,band,GoogleTranslator,2025-08-25T02:15:01.784084
82a8af79-5204-445d-83a9-e74f46a02f65,es,ciudades,ciudad,5.0,1,cities,seeudades,noun,cities,GoogleTranslator,2025-08-25T02:15:03.030270
ac6e5c8b-85d3-47fc-a14a-9ac616844b56,es,clases,clase,5.0,1,classes,clases,noun,classes,GoogleTranslator,2025-08-25T02:15:03.226196
2a8b9ded-8ce6-4b1d-b43b-7387ce05f428,es,colegio,,5.0,1,school,coleheeo,noun,school,GoogleTranslator,2025-08-25T02:15:03.415950
609d033c-dfae-41f0-bcfc-db9ea1e24455,es,contenido,,5.0,1,content,contenido,noun,content,GoogleTranslator,2025-08-25T02:15:03.598475
17dc3c97-3228-4dfc-bb93-ddebc2227f93,es,decisión,,5.0,1,decision,deseesiOHn,noun,decision,GoogleTranslator,2025-08-25T02:15:03.816265
ef771795-3b69-4cb9-823b-18a6bc125d4a,es,encuentro,,5.0,1,meeting,encuentro,noun,meeting,GoogleTranslator,2025-08-25T02:15:04.015414
8c604051-8eeb-4d6e-9184-7bebef79590a,es,entrada,entrado,5.0,1,entrance,entrada,noun,entrance,GoogleTranslator,2025-08-25T02:15:04.181915
54a93d6f-feb5-45bc-8601-c69bb5289eeb,es,fiesta,,5.0,1,party,fiesta,noun,party,GoogleTranslator,2025-08-25T02:15:04.362044
fb20cb72-781d-4d6e-8b37-6ecccebdd176,es,abogados,abogado,4.5,2,Lawyers,abogados,noun,Lawyers,GoogleTranslator,2025-08-25T02:15:04.562635
ec4ff310-af1e-45fe-87fe-a48b4ba9af74,es,abuelo,,4.5,2,grandfather,abuelo,noun,grandfather,GoogleTranslator,2025-08-25T02:15:04.741933
ccca0c85-3f89-4fc3-be11-84712f6c2418,es,aplicaciones,aplicacion,4.5,2,Applications,aplicaseeones,noun,Applications,GoogleTranslator,2025-08-25T02:15:04.949427
db261d62-4fc7-4682-bfda-ce9700e0503c,es,australia,,4.5,2,Australia,australia,noun,Australia,GoogleTranslator,2025-08-25T02:15:05.116525
fb59dcbf-ce40-46f1-a0c9-dda9a5f46a89,es,basado,,4.5,2,based,basado,noun,based,GoogleTranslator,2025-08-25T02:15:05.294488
da2e4ac7-f177-46d7-a48c-6861daa96f17,es,california,,4.5,2,California,california,noun,California,GoogleTranslator,2025-08-25T02:15:05.473524
0cc55e1f-1240-4ee5-9f3b-8e5e20c381b1,es,colonia,,4.5,2,cologne,colonia,noun,cologne,GoogleTranslator,2025-08-25T02:15:05.679133
e3ba9442-fa33-48ce-92d6-354fec04da89,es,come,comer,4.5,2,Eat,come,noun,Eat,GoogleTranslator,2025-08-25T02:15:06.343418
2c15b1e3-0952-4bc0-8307-5d49d5c97586,es,comunicaciones,comunicacion,4.5,2,Communications,comunicaseeones,noun,Communications,GoogleTranslator,2025-08-25T02:15:06.560467
0a3bcb92-f830-47b1-885c-3e1130ea0094,es,cooperación,,4.5,2,cooperation,cooperaseeOHn,noun,cooperation,GoogleTranslator,2025-08-25T02:15:06.737020
f0684f2b-50c9-4f8f-a23d-d1379ad1a31e,es,activamente,activa,4.0,3,actively,activamente,noun,actively,GoogleTranslator,2025-08-25T02:15:06.924261
770e1c5e-f74f-472f-af96-afa9fb335165,es,acuerda,acuerdo,4.0,3,Agree,acuerda,noun,Agree,GoogleTranslator,2025-08-25T02:15:07.111764
8abeb3b1-c25b-4370-b946-93a63b5bdbfd,es,agradecido,,4.0,3,grateful,agradeseedo,noun,grateful,GoogleTranslator,2025-08-25T02:15:07.294771
0a856698-3c02-4103-bb2f-6e4233470e93,es,agradecimiento,,4.0,3,gratitude,agradeseemiento,noun,gratitude,GoogleTranslator,2025-08-25T02:15:07.483034
2cad021a-2c51-4e01-be98-d5e58feafd1a,es,aguante,aguantar,4.0,3,endurance,aguante,noun,endurance,GoogleTranslator,2025-08-25T02:15:07.661208
92ccf946-321f-4023-8441-b2042e21f167,es,aman,amar,4.0,3,love,aman,noun,love,GoogleTranslator,2025-08-25T02:15:07.883458
6fcb5ab4-7d80-4465-9875-6e683582d41c,es,artillería,,4.0,3,artillery,artiyerEEa,noun,artillery,GoogleTranslator,2025-08-25T02:15:08.063124
0d752fcb-e00f-4331-99f4-de3618ec3b36,es,asunción,,4.0,3,assumption,asunseeOHn,noun,assumption,GoogleTranslator,2025-08-25T02:15:08.250437
85ceb62b-8048-4d50-9526-30afec6e0c2f,es,autorizado,,4.0,3,authorized,autorizado,noun,authorized,GoogleTranslator,2025-08-25T02:15:08.434274
282d9b60-3ea9-4c40-a5a8-3bcc03c8fd1d,es,barras,barrer,4.0,3,Bars,barras,noun,Bars,GoogleTranslator,2025-08-25T02:15:08.607415
0831d5ec-a82b-441b-9eab-3797fb481de7,es,000m,,3.5,4,000M,000m,noun,000M,GoogleTranslator,2025-08-25T02:15:08.792491
bfd40935-9f16-4a6c-8c89-114739264be3,es,abasto,,3.5,4,Abasto,abasto,noun,Abasto,GoogleTranslator,2025-08-25T02:15:09.572914
73dbafea-1afd-4cd4-b695-6f42aa3c2427,es,abstenerse,,3.5,4,refrain,abstenerse,noun,refrain,GoogleTranslator,2025-08-25T02:15:09.770794
d83fa16f-4dba-4af0-970e-0d3907aeb859,es,acreditar,,3.5,4,accredit,acreditar,noun,accredit,GoogleTranslator,2025-08-25T02:15:09.964311
fbf1e73d-3ac9-4a15-92ed-95757060456b,es,acumula,acumular,3.5,4,accumulates,acumula,noun,accumulates,GoogleTranslator,2025-08-25T02:15:10.709013
2dad0b75-6885-415c-be27-84b24d0d585c,es,adelgazar,,3.5,4,thin,adelgazar,noun,thin,GoogleTranslator,2025-08-25T02:15:10.898867
b4cab498-5d98-4821-b955-73ffa346e028,es,adónde,,3.5,4,where to,adOHnde,noun,where to,GoogleTranslator,2025-08-25T02:15:11.081855
4ace6e2d-1515-4ac4-b0a0-8f7b3350291c,es,agrario,,3.5,4,agrarian,agrario,noun,agrarian,GoogleTranslator,2025-08-25T02:15:11.248567
9c87db67-7742-4c92-9b8a-1ad839ee6852,es,ahogado,,3.5,4,drowned,ahogado,noun,drowned,GoogleTranslator,2025-08-25T02:15:12.057182
872a011d-f24d-4bb6-bf5d-254fdbb95b1a,es,alcanzaba,,3.5,4,I reached,alcanzaba,noun,I reached,GoogleTranslator,2025-08-25T02:15:12.835048
