word,definition,pronunciation,etymology,memory_tip,example_sentence,etymology_source,definition_source,example_sentence_source,audio_source,difficulty_level,phonetic_score,frequency_score,morphology_score,etymology_score,combined_word_error
bordereaux,"Detailed statements or memoranda, especially in insurance or shipping",/ˌbɔrdəˈroʊ/,From French bordereau meaning 'memorandum' or 'statement',"BORDEREAUX: Basic Organization - Record Documents, Everyone Reviews shipping records, And business accounts, Ultimately eXtensive documentation",The insurance company required detailed _____ for all claims processed.,Claude,Claude,Claude,,Intermediate,3.0,4.0,1.0,2.0,False
born,Brought into existence; having a natural talent for something,/bɔrn/,From Old English beran meaning 'to bear' or 'to carry',BORN: Basic Origin - Really Natural beginning,She was _____ with an exceptional gift for music.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,3.5,False
borough,A town or district with local government; an administrative division,/ˈbɜroʊ/,From Old English burg meaning 'fortress' or 'fortified town',"BOROUGH: Basic Organization - Really Outstanding municipal area, Government Having local control",The _____ council voted to approve the new park construction.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.0,3.5,False
borrowed,Took temporarily with permission; adopted from another source,/ˈbɑroʊd/,"From borrow + -ed, where borrow comes from Old English borgian","BORROWED: Basic Operation - Really Returned later, Obviously temporary, With Everyone's permission, Everyone Deserves their items back",He _____ his friend's car for the weekend trip.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.3,3.5,False
bosc,A variety of pear with brown russet skin and sweet flesh,/bɑsk/,"Named after Louis Bosc, an 18th-century French botanist","BOSC: Beautiful Outstanding - Sweet fruit, Crunchy delicious pear variety",The _____ pears were perfectly ripe and juicy.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,2.0,False
bossa,A style of Brazilian music; part of 'bossa nova',/ˈbɑsə/,From Portuguese bossa meaning 'trend' or 'style',"BOSSA: Beautiful Outstanding - South American music, Smooth Amazing rhythms","The _____ nova rhythm filled the café with smooth, relaxing melodies.",Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,2.0,False
bossiness,The quality of being domineering or overly controlling,/ˈbɔsinəs/,"From bossy + -ness, where bossy comes from boss + -y","BOSSINESS: Bad Obvious - Controlling behavior, Showing Irritating controlling Nature, Everyone Suffering under dominance, Some people showing control",Her _____ made it difficult for others to contribute their ideas.,Claude,Claude,Claude,,Intermediate,1.0,4.0,1.3,3.0,False
boston,The capital city of Massachusetts; a card game; a dance,/ˈbɔstən/,"Named after Boston, England, or from Massachusett bosutuwon meaning 'at the little big hill'","BOSTON: Big Outstanding - Seaport Town, Outstanding New England city",The historic _____ Tea Party was a pivotal moment in American history.,Claude,Claude,Claude,,Intermediate,2.0,3.0,1.0,3.0,False
botany,The scientific study of plants and their life processes,/ˈbɑtəni/,"From Greek botanikos meaning 'of plants', from botane 'plant'","BOTANY: Basic Outstanding - Teaching About plants, And Natural plant science, Year-long scientific study",She pursued a degree in _____ to better understand plant ecosystems.,Claude,Claude,Claude,,Intermediate,1.0,3.0,2.3,2.0,False
botch,To carry out a task badly or carelessly; to bungle,/bɑtʃ/,From Middle English bocchen meaning 'to mend' or 'to patch',"BOTCH: Bad Operation - Totally Careless work, Hurting the final result",He managed to _____ the simple repair job completely.,Claude,Claude,Claude,,Intermediate,2.0,2.5,1.0,3.5,False
both,The two together; one and the other,/boʊθ/,"From Old English ba meaning 'both', from Proto-Germanic bai","BOTH: Basic Operation - Together equally, Holding two things together",_____ children enjoyed the trip to the zoo.,Claude,Claude,Claude,,Intermediate,1.0,2.5,1.3,3.5,False
bother,To trouble or annoy; to make the effort to do something,/ˈbɑðər/,Possibly from Irish bodhaire meaning 'to deafen' or 'to trouble',"BOTHER: Bad Operation - Troubling someone, Hurting Everyone's peace, Really annoying others",Please don't _____ me while I'm trying to concentrate.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.3,5.0,False
bottle,A container with a narrow neck for holding liquids,/ˈbɑtəl/,"From Old French boteille, from Late Latin buttila 'small cask'","BOTTLE: Basic Object - Totally Tight container, Liquids Everywhere contained",She filled the glass _____ with fresh spring water.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.0,3.5,False
bottom,The lowest part or point; the underside of something,/ˈbɑtəm/,From Old English botm meaning 'lowest part' or 'foundation',"BOTTOM: Basic Object - Totally at the lowest point, Obviously down, Mostly underneath",The treasure chest lay at the _____ of the deep lake.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.0,3.5,False
boucle,A yarn with loops creating a bumpy texture; fabric made from such yarn,/ˈbukəl/,From French bouclé meaning 'curled' or 'buckled',"BOUCLE: Beautiful Outstanding - Unique fabric, Curly Looped texture, Everything textured",The designer chose a cream _____ fabric for the elegant sofa.,Claude,Claude,Claude,,Beginner,1.5,3.0,1.0,2.0,False
