word,years,source_files,source_difficulties,definition,pronunciation,example_sentence,etymology,memory_tips,part_of_speech,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,difficulty_level,definition_source,pronunciation_source,etymology_source,example_sentence_source
tricenary,2021; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Relating to or lasting for thirty years; a period of thirty years; the thirtieth anniversary of an event. This term describes time periods, commemorations, or cycles that span exactly three decades. Used in historical contexts to mark significant anniversaries, political terms, or generational periods. Academic and institutional contexts may celebrate tricenary milestones for founding dates, achievements, or important events. The word emphasizes the significance of the thirty-year timeframe as a meaningful period for reflection, celebration, or historical analysis.",/traɪˈsinəri/,The university celebrated its _____ with a special symposium reflecting on thirty years of academic excellence.,"From Latin 'tricenarius,' from 'triceni' (thirty each), from 'tres' (three) + 'deni' (ten each), meaning 'of thirty.'","[""Think 'TRI-CENARY' = three + ten = thirty years"", ""Remember 'thirty-year anniversary' for tricenary celebration"", ""Connect to 'centenary' (100 years) but tricenary is 30 years""]","adjective, noun",1.0,3.0,3.0,1.8,,Claude,Claude,Claude,Claude
tricenarytriste,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,"ERROR: This appears to be a combined word error. Should likely be separated into 'tricenary' (relating to thirty years) and 'triste' (sad or melancholy). 'Tricenary' refers to thirty-year periods or anniversaries, while 'triste' is a French/Spanish word meaning sad. These represent different concepts from time measurement and emotion that have been incorrectly merged in the source data.",ERROR: Combined word - check source data,ERROR: This appears to be two separate words incorrectly combined.,ERROR: Combined word requiring separation and individual analysis.,"[""ERROR: This appears to be 'tricenary' + 'triste' combined"", ""Review source data for proper word separation"", ""Check for data processing errors in original documents""]",ERROR: Combined word,1.0,4.0,3.0,1.0,,Claude,Claude,Claude,Claude
triceratops,2020; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"A large herbivorous dinosaur from the Late Cretaceous period, characterized by three prominent facial horns and a large bony frill extending from the skull. These quadrupedal dinosaurs could reach lengths of 30 feet and weights of 12 tons, using their horns and frills for defense against predators like Tyrannosaurus rex. Fossil evidence shows they lived in herds and fed on low-growing vegetation. The distinctive three-horn arrangement included two large horns above the eyes and a smaller horn on the nose. Popular in paleontology education and dinosaur media due to their iconic appearance.",/traɪˈsɛrəˌtɑps/,The museum's _____ skeleton displayed the massive three-horned skull that made this dinosaur so recognizable.,"From Greek 'tri-' (three) + 'keras' (horn) + 'ops' (face), literally meaning 'three-horned face.'","[""Think 'TRI-CERAT-OPS' = three + horn + face for three-horned dinosaur"", ""Remember 'three horns' for distinctive facial features"", ""Connect to 'rhinoceros' for modern horned animal comparison""]",noun,1.8,3.5,3.0,2.3,,Claude,Claude,Claude,Claude
triceratopssandal,2021,2021_Printable_Words of the Champions.pdf,One Bee,"ERROR: This appears to be a combined word error. Should likely be separated into 'triceratops' (three-horned dinosaur) and 'sandal' (open footwear). 'Triceratops' refers to the famous horned dinosaur from the Cretaceous period, while 'sandal' is a type of shoe with straps. These represent completely different concepts from paleontology and footwear that have been incorrectly merged in the source data.",ERROR: Combined word - check source data,ERROR: This appears to be two separate words incorrectly combined.,ERROR: Combined word requiring separation and individual analysis.,"[""ERROR: This appears to be 'triceratops' + 'sandal' combined"", ""Review source data for proper word separation"", ""Check for data processing errors in original documents""]",ERROR: Combined word,2.0,4.5,4.0,1.0,,Claude,Claude,Claude,Claude
trichinosis,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"A parasitic disease caused by eating undercooked meat infected with Trichinella larvae, particularly pork or wild game. Symptoms include muscle pain, fever, swelling around the eyes, and digestive problems as larvae migrate through the body and form cysts in muscle tissue. Prevention involves proper cooking of meat to internal temperatures that kill parasites. Once common in areas with poor sanitation and meat inspection, trichinosis has become rare in developed countries due to improved food safety practices. Severe cases can affect the heart and nervous system, requiring medical treatment.",/ˌtrɪkəˈnoʊsɪs/,The doctor diagnosed _____ after the patient reported severe muscle pain following consumption of undercooked pork.,"From genus 'Trichinella' (the parasite) + '-osis' (disease condition), named for the thread-like appearance of the worm.","[""Think 'TRICHIN-OSIS' = trichinella parasite + disease condition"", ""Remember 'undercooked pork' for common source of infection"", ""Connect to 'muscle pain' for primary symptom of the disease""]",noun,1.0,3.5,3.0,1.3,,Claude,Claude,Claude,Claude
trichotillomania,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,"A mental health disorder characterized by recurrent urges to pull out one's own hair, resulting in noticeable hair loss and significant distress or impairment. This impulse control disorder can affect hair on the scalp, eyebrows, eyelashes, or other body areas. Often beginning in childhood or adolescence, the condition may involve rituals around hair pulling and can lead to social anxiety or avoidance behaviors. Treatment typically includes cognitive-behavioral therapy, support groups, and sometimes medication. The disorder represents a complex interaction of psychological, genetic, and environmental factors.",/ˌtrɪkoʊˌtɪləˈmeɪniə/,The therapist specialized in treating _____ using cognitive-behavioral techniques to help patients manage their urges.,"From Greek 'tricho-' (hair) + 'till-' (to pull) + 'mania' (obsession), literally meaning 'hair-pulling obsession.'","[""Think 'TRICHO-TILLO-MANIA' = hair + pulling + obsession"", ""Remember 'hair-pulling disorder' for compulsive behavior"", ""Connect to 'impulse control' for type of mental health condition""]",noun,1.2,4.5,3.0,2.3,,Claude,Claude,Claude,Claude
trickery,2025,2025 Words of Champion _1_.pdf,Three Bee,"The practice of using deception, cunning, or underhanded methods to achieve goals; crafty or fraudulent behavior intended to mislead others. Involves deliberate attempts to deceive through false promises, misleading information, or manipulative tactics. Can range from harmless pranks and magic tricks to serious fraud and criminal deception. Political contexts may describe campaign trickery or diplomatic deception. The word implies intentional dishonesty and manipulation designed to gain unfair advantage over others through cleverness rather than honest means.",/ˈtrɪkəri/,The investigation revealed financial _____ involving false documents and misleading statements to investors.,"From 'trick' + '-ery' (practice or art of), meaning 'the practice of using tricks or deception.'","[""Think 'TRICK-ERY' - the practice or art of using tricks"", ""Remember 'deception' for dishonest or misleading behavior"", ""Connect to 'fraud' for serious forms of trickery in business""]",noun,1.0,1.0,2.0,1.3,,Claude,Claude,Claude,Claude
trickster,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,"A person who uses tricks, deception, or cunning to deceive others; in mythology and folklore, a character who uses wit and humor to challenge authority or social norms. Mythological tricksters appear in many cultures, such as Loki in Norse mythology, Anansi in African folklore, or Coyote in Native American stories. These figures often serve as both troublemakers and agents of change, using cleverness to expose hypocrisy or teach lessons. Modern usage describes anyone who enjoys playing pranks, using deception, or manipulating situations for personal advantage or entertainment.",/ˈtrɪkstər/,The folklore character was a clever _____ who used wit and humor to outsmart powerful enemies.,"From 'trick' + '-ster' (one who practices), meaning 'one who practices tricks or deception.'","[""Think 'TRICK-STER' - one who performs tricks or uses deception"", ""Remember 'folklore character' for mythological trickster figures"", ""Connect to 'prankster' for someone who enjoys playing tricks""]",noun,1.0,3.0,3.0,1.3,,Claude,Claude,Claude,Claude
tricky,2025,2025 Words of Champion _1_.pdf,Three Bee,"Requiring skill, caution, or careful handling due to difficulty or complexity; involving deception or likely to deceive; crafty or cunning in behavior. Describes situations, problems, or tasks that are challenging and may have hidden complications or unexpected difficulties. Can refer to people who are dishonest, manipulative, or unreliable in their dealings with others. The word suggests that success requires careful attention, skill, or awareness of potential pitfalls. Often used to warn others about challenging circumstances or untrustworthy individuals.",/ˈtrɪki/,The math problem proved _____ because it contained several steps that could easily lead to errors.,"From 'trick' + '-y' (characterized by), meaning 'characterized by tricks, difficult, or deceptive.'","[""Think 'TRICK-Y' - characterized by tricks or difficulties"", ""Remember 'challenging' for problems requiring careful handling"", ""Connect to 'complicated' for situations with hidden difficulties""]",adjective,1.0,1.0,2.0,1.3,,Claude,Claude,Claude,Claude
triduum,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,"A three-day period of prayer and observance, particularly in Christian liturgy referring to the Easter Triduum (Holy Thursday, Good Friday, and Easter Vigil). This sacred period commemorates the passion, death, and resurrection of Jesus Christ, representing the most important celebrations in the Christian calendar. Each day features specific liturgical services, traditions, and symbolic observances that tell the story of salvation. The term can also refer to any three-day period of religious devotion or spiritual preparation in various Christian traditions.",/ˈtrɪduəm/,"The parish prepared special liturgies for the Easter _____, the holiest three days of the Christian year.","From Latin 'triduum,' from 'tres' (three) + 'dies' (days), meaning 'three days.'","[""Think 'TRI-DUUM' = three + days for three-day religious period"", ""Remember 'Easter celebration' for most important Christian triduum"", ""Connect to 'Holy Week' for liturgical calendar context""]",noun,1.0,2.5,2.0,1.8,,Claude,Claude,Claude,Claude
trifecta,2020,2020 Words_of_the_Champions.pdf,One Bee,"A bet in which the bettor must select the first three finishers in exact order; any achievement involving three successes or wins; a series of three related things. Originally a horse racing term, trifecta betting requires picking the exact order of the top three horses, offering higher payouts due to its difficulty. The word has expanded to describe any accomplishment involving three consecutive victories, perfect outcomes, or related achievements. Business contexts may describe a trifecta of successful product launches, while sports might reference a trifecta of championship wins.",/traɪˈfɛktə/,The team achieved a _____ by winning the championship three consecutive years.,"Blend of 'tri-' (three) + 'perfecta' (betting term), originally coined for horse racing betting systems.","[""Think 'TRI-FECTA' = three + perfect outcomes or wins"", ""Remember 'horse racing' for original betting context"", ""Connect to 'hat trick' for three consecutive successes""]",noun,1.0,2.5,2.0,1.0,,Claude,Claude,Claude,Claude
