Module,Question,Options,Answer,Explanation,Difficulty
"First Declension Nouns","What is the genitive singular ending for first declension nouns?","-a|-ae|-am|-ā","-ae","First declension nouns have -ae as their genitive singular ending. This is the key identifier of first declension.","beginner"
"First Declension Nouns","Translate 'puella' into English:","boy|girl|woman|man","girl","Puella means 'girl' in Latin. It's a common first declension noun.","beginner"
"First Declension Nouns","Which case is 'puellārum'?","Nominative singular|Genitive singular|Genitive plural|Accusative plural","Genitive plural","The ending -ārum indicates genitive plural in the first declension.","beginner"
"First Declension Nouns","What is the nominative plural of 'porta' (gate)?","portae|portās|portārum|portīs","portae","First declension nominative plural ends in -ae.","beginner"
"First Declension Nouns","In 'Puella rosam habet', what case is 'rosam'?","Nominative|Genitive|Dative|Accusative","Accusative","Rosam ends in -am, which is the accusative singular ending for first declension. It's the direct object.","beginner"
"First Declension Nouns","Which of these is a first declension noun?","dominus|bellum|aqua|puer","aqua","Aqua (water) is a first declension noun, ending in -a in the nominative.","beginner"
"First Declension Nouns","What is the ablative singular ending for first declension?","-a|-ae|-ā|-īs","-ā","First declension ablative singular has a long -ā ending.","beginner"
"First Declension Nouns","Translate 'fēminae' (genitive singular):","of the woman|to the woman|the women|by the woman","of the woman","Genitive case shows possession: 'of the woman'.","beginner"
"Second Declension Masculine Nouns","What is the genitive singular ending for second declension masculine nouns?","-us|-ī|-um|-ō","-ī","Second declension masculine nouns have -ī as their genitive singular ending.","beginner"
"Second Declension Masculine Nouns","What is the nominative plural of 'servus' (slave)?","servī|servōs|servum|servōrum","servī","Second declension masculine nominative plural ends in -ī.","beginner"
"Second Declension Masculine Nouns","Translate 'amīcus' into English:","enemy|friend|soldier|master","friend","Amīcus means 'friend' in Latin.","beginner"
"Second Declension Masculine Nouns","In 'Dominus servum videt', what case is 'servum'?","Nominative|Genitive|Accusative|Ablative","Accusative","Servum ends in -um, which is the accusative singular for second declension masculine.","beginner"
